feature,event_field,valid_sample_count,event_population_percentage,event_missing_percentage,feature_rows_valid,feature_row_population_percentage,replay_status
quote_age_seconds,quote_age_seconds,32041,100.0,0.0,213,100.0,compatible
time_since_quote_update_seconds,time_since_last_quote_update_seconds,32041,100.0,0.0,213,100.0,compatible
repricing_velocity,repricing_velocity,31822,99.3165,0.6835,213,100.0,compatible
repricing_acceleration,repricing_acceleration,31603,98.633,1.367,213,100.0,compatible
yes_change_frequency_30s,yes_change_frequency_30s,32041,100.0,0.0,213,100.0,compatible
no_change_frequency_30s,no_change_frequency_30s,32041,100.0,0.0,213,100.0,compatible
consecutive_quote_stability,consecutive_quote_stability,32041,100.0,0.0,213,100.0,compatible
bid_ask_spread,bid_ask_spread,32041,100.0,0.0,213,100.0,compatible
spread_change,spread_change,31822,99.3165,0.6835,213,100.0,compatible
spread_velocity,spread_velocity,31822,99.3165,0.6835,213,100.0,compatible
spread_compression,spread_compression,31822,99.3165,0.6835,213,100.0,compatible
yes_bid_size,yes_bid_size,32041,100.0,0.0,213,100.0,compatible
yes_ask_size,yes_ask_size,32041,100.0,0.0,213,100.0,compatible
total_bid_depth,total_bid_depth,32041,100.0,0.0,213,100.0,compatible
total_ask_depth,total_ask_depth,32041,100.0,0.0,213,100.0,compatible
book_imbalance,book_imbalance,32041,100.0,0.0,213,100.0,compatible
market_refresh_latency,refresh_latency_seconds,32041,100.0,0.0,213,100.0,compatible
cross_asset_yes_dispersion,cross_asset_yes_dispersion,32034,99.9782,0.0218,213,100.0,compatible
cross_asset_relative_yes,cross_asset_relative_yes,32034,99.9782,0.0218,213,100.0,compatible
