feature,event_missing_count,event_missing_percentage,feature_row_missing_count,feature_row_missing_percentage
quote_age_seconds,0,0.0,0,0.0
time_since_quote_update_seconds,0,0.0,0,0.0
repricing_velocity,219,0.6835,0,0.0
repricing_acceleration,438,1.367,0,0.0
yes_change_frequency_30s,0,0.0,0,0.0
no_change_frequency_30s,0,0.0,0,0.0
consecutive_quote_stability,0,0.0,0,0.0
bid_ask_spread,0,0.0,0,0.0
spread_change,219,0.6835,0,0.0
spread_velocity,219,0.6835,0,0.0
spread_compression,219,0.6835,0,0.0
yes_bid_size,0,0.0,0,0.0
yes_ask_size,0,0.0,0,0.0
total_bid_depth,0,0.0,0,0.0
total_ask_depth,0,0.0,0,0.0
book_imbalance,0,0.0,0,0.0
market_refresh_latency,0,0.0,0,0.0
cross_asset_yes_dispersion,7,0.0218,0,0.0
cross_asset_relative_yes,7,0.0218,0,0.0
