bin,count,lower,mean_probability,model,observed_frequency,scope,upper
0,5,0.0,0.0689465583,logistic,0.2,overall,0.1
1,12,0.1,0.1418279984,logistic,0.1666666667,overall,0.2
2,15,0.2,0.2541897839,logistic,0.2666666667,overall,0.3
3,18,0.3,0.3552918186,logistic,0.6111111111,overall,0.4
4,22,0.4,0.457185278,logistic,0.3181818182,overall,0.5
5,34,0.5,0.5513347629,logistic,0.2941176471,overall,0.6
6,21,0.6,0.6481561151,logistic,0.4285714286,overall,0.7
7,12,0.7,0.7470466031,logistic,0.6666666667,overall,0.8
8,13,0.8,0.846713368,logistic,0.8461538462,overall,0.9
9,1,0.9,0.9393778127,logistic,1.0,overall,1.0
0,0,0.0,,logistic,,BTC,0.1
1,3,0.1,0.1244728691,logistic,0.0,BTC,0.2
2,6,0.2,0.2684192476,logistic,0.3333333333,BTC,0.3
3,5,0.3,0.3496112726,logistic,0.6,BTC,0.4
4,5,0.4,0.4445875001,logistic,0.6,BTC,0.5
5,15,0.5,0.5448258118,logistic,0.2666666667,BTC,0.6
6,8,0.6,0.6569813765,logistic,0.25,BTC,0.7
7,5,0.7,0.7501910894,logistic,0.8,BTC,0.8
8,4,0.8,0.8505052993,logistic,1.0,BTC,0.9
9,0,0.9,,logistic,,BTC,1.0
0,3,0.0,0.0804215687,logistic,0.3333333333,ETH,0.1
1,6,0.1,0.1458774608,logistic,0.3333333333,ETH,0.2
2,4,0.2,0.2647572586,logistic,0.0,ETH,0.3
3,3,0.3,0.3540969293,logistic,1.0,ETH,0.4
4,13,0.4,0.4629061657,logistic,0.3076923077,ETH,0.5
5,10,0.5,0.5542716804,logistic,0.3,ETH,0.6
6,5,0.6,0.6567324702,logistic,0.6,ETH,0.7
7,2,0.7,0.7099831835,logistic,1.0,ETH,0.8
8,4,0.8,0.8338727363,logistic,0.75,ETH,0.9
9,1,0.9,0.9393778127,logistic,1.0,ETH,1.0
0,2,0.0,0.0517340425,logistic,0.0,SOL,0.1
1,3,0.1,0.1510842027,logistic,0.0,SOL,0.2
2,5,0.2,0.2286604476,logistic,0.4,SOL,0.3
3,10,0.3,0.3584905583,logistic,0.5,SOL,0.4
4,4,0.4,0.4543396153,logistic,0.0,SOL,0.5
5,9,0.5,0.558919773,logistic,0.3333333333,SOL,0.6
6,8,0.6,0.6339706318,logistic,0.5,SOL,0.7
7,5,0.7,0.7587274847,logistic,0.4,SOL,0.8
8,5,0.8,0.8539523285,logistic,0.8,SOL,0.9
9,0,0.9,,logistic,,SOL,1.0
0,3,0.0,0.0583333333,yes_price,0.0,overall,0.1
1,9,0.1,0.145,yes_price,0.1111111111,overall,0.2
2,17,0.2,0.2564705882,yes_price,0.2352941176,overall,0.3
3,22,0.3,0.3586363636,yes_price,0.4545454545,overall,0.4
4,43,0.4,0.4627906977,yes_price,0.3720930233,overall,0.5
5,29,0.5,0.5412068966,yes_price,0.3448275862,overall,0.6
6,13,0.6,0.645,yes_price,0.5384615385,overall,0.7
7,11,0.7,0.7304545455,yes_price,0.9090909091,overall,0.8
8,6,0.8,0.8366666667,yes_price,1.0,overall,0.9
9,0,0.9,,yes_price,,overall,1.0
0,1,0.0,0.075,yes_price,0.0,BTC,0.1
1,3,0.1,0.135,yes_price,0.0,BTC,0.2
2,5,0.2,0.262,yes_price,0.4,BTC,0.3
3,10,0.3,0.3645,yes_price,0.5,BTC,0.4
4,12,0.4,0.4658333333,yes_price,0.3333333333,BTC,0.5
5,9,0.5,0.545,yes_price,0.2222222222,BTC,0.6
6,5,0.6,0.629,yes_price,0.6,BTC,0.7
7,4,0.7,0.735,yes_price,1.0,BTC,0.8
8,2,0.8,0.815,yes_price,1.0,BTC,0.9
9,0,0.9,,yes_price,,BTC,1.0
0,1,0.0,0.055,yes_price,0.0,ETH,0.1
1,3,0.1,0.1466666667,yes_price,0.3333333333,ETH,0.2
2,6,0.2,0.2533333333,yes_price,0.3333333333,ETH,0.3
3,6,0.3,0.355,yes_price,0.3333333333,ETH,0.4
4,17,0.4,0.4623529412,yes_price,0.4117647059,ETH,0.5
5,9,0.5,0.5527777778,yes_price,0.2222222222,ETH,0.6
6,5,0.6,0.661,yes_price,0.8,ETH,0.7
7,1,0.7,0.765,yes_price,1.0,ETH,0.8
8,3,0.8,0.855,yes_price,1.0,ETH,0.9
9,0,0.9,,yes_price,,ETH,1.0
0,1,0.0,0.045,yes_price,0.0,SOL,0.1
1,3,0.1,0.1533333333,yes_price,0.0,SOL,0.2
2,6,0.2,0.255,yes_price,0.0,SOL,0.3
3,6,0.3,0.3525,yes_price,0.5,SOL,0.4
4,14,0.4,0.4607142857,yes_price,0.3571428571,SOL,0.5
5,11,0.5,0.5286363636,yes_price,0.5454545455,SOL,0.6
6,3,0.6,0.645,yes_price,0.0,SOL,0.7
7,6,0.7,0.7216666667,yes_price,0.8333333333,SOL,0.8
8,1,0.8,0.825,yes_price,1.0,SOL,0.9
9,0,0.9,,yes_price,,SOL,1.0
