count,logistic_accuracy,logistic_auc,logistic_brier,logistic_calibration,logistic_log_loss,segment,winner,yes_accuracy,yes_auc,yes_brier,yes_calibration,yes_log_loss
33,0.5151515152,0.6592592593,0.2487797276,0.1816700433,0.6891836033,lag_high,yes_price,0.6060606061,0.7666666667,0.2185386364,0.1677272727,0.6249173252
112,0.5803571429,0.6161105494,0.2333131721,0.1472980636,0.6577020567,lag_low,yes_price,0.6428571429,0.6445904954,0.2125933036,0.1,0.6070560123
8,0.5,0.7333333333,0.2639450879,0.2924602308,0.7214440368,lag_medium,logistic,0.5,0.3666666667,0.266275,0.16,0.7259981464
51,0.4509803922,0.5062695925,0.2804007783,0.2234498657,0.7595499929,period_early,yes_price,0.4901960784,0.5572100313,0.2464637255,0.1837254902,0.6816018727
51,0.6274509804,0.7639751553,0.2017147876,0.1371046149,0.5817904062,period_late,yes_price,0.6862745098,0.7818322981,0.1912308824,0.080882353,0.560266887
51,0.6078431373,0.6694078947,0.232636728,0.2403355267,0.6621349256,period_middle,yes_price,0.7058823529,0.6636513158,0.2123529412,0.1778431373,0.6095141869
65,0.5384615385,0.6057082452,0.2492563943,0.2447904033,0.6932832335,volatility_high,yes_price,0.6461538462,0.6316067653,0.2178965385,0.175,0.6193480235
37,0.6486486486,0.7558823529,0.2079950956,0.1152319665,0.6002547702,volatility_low,yes_price,0.6486486486,0.7573529412,0.1981243243,0.1659459459,0.5806203913
51,0.5294117647,0.6184615385,0.2461741729,0.1647013941,0.6844000958,volatility_medium,yes_price,0.5882352941,0.6484615385,0.2285990196,0.1217647059,0.6407834171
153,0.5620915033,0.6462429775,0.2382507646,0.1515844667,0.6678251082,window_early,yes_price,0.6274509804,0.6720505618,0.2166825163,0.1102941176,0.6171276489
0,,,,,,window_late,insufficient_data,,,,,
0,,,,,,window_middle,insufficient_data,,,,,
26,0.8846153846,0.880952381,0.1000182203,0.1275796796,0.3624295088,yes_confidence_high,yes_price,0.8846153846,0.9672619048,0.0969480769,0.1157692308,0.3358189901
72,0.4027777778,0.4406354515,0.2824720426,0.2704958462,0.7604562145,yes_confidence_low,yes_price,0.5138888889,0.4506688963,0.2544190972,0.1332638889,0.7021056835
55,0.6181818182,0.6153846154,0.2457073854,0.0866951401,0.6909313979,yes_confidence_medium,yes_price,0.6545454545,0.6730769231,0.2238836364,0.1092727273,0.6388659514
