feature,rows,present,missing,population_pct,mean,std,min,p25,median,p75,max,corr_outcome,abs_corr_outcome,corr_yes_price,abs_corr_yes_price,partial_corr_outcome_after_yes,abs_partial_corr_outcome_after_yes,half_sample_mean_shift_in_std,classification
quote_age_seconds,213,213,0,100.0,2.06835,0.598886,0.564586,1.966071,2.040578,2.116257,6.074758,0.004858,0.004858,-0.063087,0.063087,0.027069,0.027069,-0.003783,weak_or_no_incremental_signal
time_since_quote_update_seconds,213,213,0,100.0,0.09375,0.540616,0.0,0.0,0.0,0.0,3.997507,-0.008066,0.008066,-0.040864,0.040864,0.005636,0.005636,-0.070742,weak_or_no_incremental_signal
repricing_velocity,213,213,0,100.0,-0.000589,0.01372,-0.067828,-0.005021,0.0,0.005022,0.042685,0.144462,0.144462,0.135174,0.135174,0.107014,0.107014,0.244725,weak_or_no_incremental_signal
repricing_acceleration,213,213,0,100.0,-0.000583,0.009268,-0.03506,-0.005007,0.0,0.004966,0.0348,0.010145,0.010145,-0.066768,0.066768,0.033963,0.033963,0.171032,weak_or_no_incremental_signal
yes_change_frequency_30s,213,213,0,100.0,0.321127,0.085397,0.066667,0.266667,0.333333,0.366667,0.5,0.003562,0.003562,-0.098896,0.098896,0.038246,0.038246,-0.291873,weak_or_no_incremental_signal
no_change_frequency_30s,213,213,0,100.0,0.321127,0.085397,0.066667,0.266667,0.333333,0.366667,0.5,0.003562,0.003562,-0.098896,0.098896,0.038246,0.038246,-0.291873,weak_or_no_incremental_signal
consecutive_quote_stability,213,213,0,100.0,1.046948,0.270661,1.0,1.0,1.0,1.0,3.0,-0.007932,0.007932,-0.040708,0.040708,0.005724,0.005724,-0.071014,weak_or_no_incremental_signal
bid_ask_spread,213,213,0,100.0,0.011831,0.006999,0.01,0.01,0.01,0.01,0.07,-0.020129,0.020129,-0.028412,0.028412,-0.011458,0.011458,-0.391505,weak_or_no_incremental_signal
spread_change,213,213,0,100.0,0.001315,0.007407,-0.02,0.0,0.0,0.0,0.06,-0.023549,0.023549,-0.045617,0.045617,-0.009118,0.009118,-0.407317,weak_or_no_incremental_signal
spread_velocity,213,213,0,100.0,0.00066,0.003718,-0.009975,0.0,0.0,0.0,0.030136,-0.023615,0.023615,-0.045407,0.045407,-0.00926,0.00926,-0.40779,weak_or_no_incremental_signal
spread_compression,213,213,0,100.0,-0.001315,0.007407,-0.06,-0.0,-0.0,-0.0,0.02,0.023549,0.023549,0.045617,0.045617,0.009118,0.009118,0.407317,weak_or_no_incremental_signal
yes_bid_size,213,213,0,100.0,292.589296,446.73626,4.88,40.3,126.0,306.46,2652.37,0.066851,0.066851,0.056662,0.056662,0.051192,0.051192,0.303161,weak_or_no_incremental_signal
yes_ask_size,213,213,0,100.0,286.870423,449.474799,0.74,26.0,93.0,267.74,2068.77,-0.016995,0.016995,0.00755,0.00755,-0.020606,0.020606,0.057656,weak_or_no_incremental_signal
total_bid_depth,213,213,0,100.0,28738.906526,16395.208619,7897.28,15367.96,21787.84,44864.12,65730.64,0.074379,0.074379,0.188916,0.188916,0.013464,0.013464,0.320884,weak_or_no_incremental_signal
total_ask_depth,213,213,0,100.0,28615.98784,16452.551573,9459.25,15462.56,22102.06,42750.22,70004.42,-0.058141,0.058141,-0.164418,0.164418,-0.004592,0.004592,0.164208,weak_or_no_incremental_signal
book_imbalance,213,213,0,100.0,0.001278,0.116551,-0.401285,-0.073022,0.001792,0.063454,0.386815,0.303091,0.303091,0.845073,0.845073,0.051975,0.051975,0.421905,redundant_with_yes_price
market_refresh_latency,213,213,0,100.0,0.363268,0.54687,0.141,0.172,0.219,0.297,7.0,-0.07376,0.07376,-0.020605,0.020605,-0.070939,0.070939,0.052966,weak_or_no_incremental_signal
cross_asset_yes_dispersion,213,213,0,100.0,0.091831,0.062111,0.01,0.05,0.08,0.12,0.36,0.104334,0.104334,-0.063885,0.063885,0.132849,0.132849,-0.181693,possible_incremental_signal
cross_asset_relative_yes,213,213,0,100.0,-0.00011,0.048388,-0.133333,-0.026667,-0.001667,0.023333,0.22,0.17159,0.17159,0.267403,0.267403,0.092256,0.092256,-0.000626,weak_or_no_incremental_signal
