segment,rows,up_rate,mean_yes_price,yes_log_loss,yes_brier,yes_accuracy,yes_roc_auc
asset=BTC,71,0.408451,0.484437,0.638858,0.222905,0.619718,0.69376
asset=ETH,71,0.43662,0.480352,0.60645,0.210352,0.690141,0.71371
asset=SOL,71,0.422535,0.483803,0.660967,0.233061,0.619718,0.650407
quote_age_seconds=low_le_median(2.040578),107,0.420561,0.501075,0.642359,0.225145,0.635514,0.689785
quote_age_seconds=high_gt_median(2.040578),106,0.424528,0.464481,0.628426,0.219038,0.650943,0.693807
repricing_velocity=low_le_median(0),147,0.394558,0.469966,0.644841,0.226289,0.62585,0.666505
repricing_velocity=high_gt_median(0),66,0.484848,0.511591,0.614454,0.21279,0.681818,0.727482
book_imbalance=low_le_median(0.0017920687),107,0.28972,0.357383,0.593733,0.202204,0.672897,0.615025
book_imbalance=high_gt_median(0.0017920687),106,0.556604,0.609528,0.677511,0.242195,0.613208,0.603137
spread_compression=low_le_median(-0),190,0.421053,0.486184,0.642803,0.225266,0.642105,0.679773
spread_compression=high_gt_median(-0),23,0.434783,0.455435,0.57448,0.195999,0.652174,0.776923
