feature,rows,present,missing,population_pct,mean,std,min,p25,median,p75,max,corr_outcome,abs_corr_outcome,corr_yes_price,abs_corr_yes_price,partial_corr_outcome_after_yes,abs_partial_corr_outcome_after_yes,half_sample_mean_shift_in_std,classification
quote_age_seconds,426,426,0,100.0,2.295439225352113,0.6623131382693952,0.564586,2.037029,2.2492105000000002,2.48174625,10.562635,0.0029220544979088594,0.0029220544979088594,0.051267688957453546,0.051267688957453546,-0.019432991456532933,0.019432991456532933,0.6857451020782741,weak_or_no_incremental_signal
time_since_quote_update_seconds,426,426,0,100.0,0.07975554929577465,0.5842732716140392,0.0,0.0,0.0,0.0,7.990854,-0.05633529918848186,0.05633529918848186,0.023552928508485844,0.023552928508485844,-0.07196953572859778,0.07196953572859778,-0.047904604987954055,weak_or_no_incremental_signal
repricing_velocity,426,426,0,100.0,6.140250658787922e-06,0.01214483927169911,-0.06782777773590878,-0.004983823846159303,0.0,0.004985727731406663,0.059837004001101,0.08000014934044163,0.08000014934044163,0.12243406736293477,0.12243406736293477,0.03370865371506064,0.03370865371506064,0.09800462134194779,weak_or_no_incremental_signal
repricing_acceleration,426,426,0,100.0,-0.000524464561626978,0.008755464292130118,-0.03505987704203423,-0.004970025447900655,0.0,0.002522016882191268,0.04485784313259242,0.0238746739390859,0.0238746739390859,-0.05552127534765049,0.05552127534765049,0.050645736967233006,0.050645736967233006,0.013389028165260443,weak_or_no_incremental_signal
yes_change_frequency_30s,426,426,0,100.0,0.30039123630672926,0.09643232331135718,0.03333333333333333,0.23333333333333334,0.3,0.36666666666666664,0.5,-0.07067667390813337,0.07067667390813337,-0.11291744009563222,0.11291744009563222,-0.027637880705953934,0.027637880705953934,-0.4300534000347774,weak_or_no_incremental_signal
no_change_frequency_30s,426,426,0,100.0,0.30039123630672926,0.09643232331135718,0.03333333333333333,0.23333333333333334,0.3,0.36666666666666664,0.5,-0.07067667390813337,0.07067667390813337,-0.11291744009563222,0.11291744009563222,-0.027637880705953934,0.027637880705953934,-0.4300534000347774,weak_or_no_incremental_signal
consecutive_quote_stability,426,426,0,100.0,1.039906103286385,0.2923398354620122,1.0,1.0,1.0,1.0,5.0,-0.05627438756249734,0.05627438756249734,0.02361581079859173,0.02361581079859173,-0.07193078490452018,0.07193078490452018,-0.04817854200401539,weak_or_no_incremental_signal
bid_ask_spread,426,426,0,100.0,0.011056338028169011,0.0051391571493259606,0.009999999999999898,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.07,-0.05030388445587836,0.05030388445587836,-0.05500813922493194,0.05500813922493194,-0.030771849365114505,0.030771849365114505,-0.30146884588868694,weak_or_no_incremental_signal
spread_change,426,426,0,100.0,0.0005399061032863859,0.005734482200583566,-0.020000000000000018,0.0,0.0,0.0,0.06,-0.05327824108088038,0.05327824108088038,-0.0542587996773841,0.0542587996773841,-0.03435675789968326,0.03435675789968326,-0.2701718691340997,weak_or_no_incremental_signal
spread_velocity,426,426,0,100.0,0.00027142075398172533,0.0028762844492723548,-0.010052292023104197,0.0,0.0,0.0,0.03013586755888925,-0.05309792546462538,0.05309792546462538,-0.05397590224864599,0.05397590224864599,-0.03428377769930107,0.03428377769930107,-0.27038214977271885,weak_or_no_incremental_signal
spread_compression,426,426,0,100.0,-0.0005399061032863859,0.005734482200583566,-0.06,-0.0,-0.0,-0.0,0.020000000000000018,0.05327824108088038,0.05327824108088038,0.0542587996773841,0.0542587996773841,0.03435675789968326,0.03435675789968326,0.2701718691340997,weak_or_no_incremental_signal
