feature,quote_age_seconds,time_since_quote_update_seconds,repricing_velocity,repricing_acceleration,yes_change_frequency_30s,no_change_frequency_30s,consecutive_quote_stability,bid_ask_spread,spread_change,spread_velocity,spread_compression,yes_bid_size,yes_ask_size,total_bid_depth,total_ask_depth,book_imbalance,market_refresh_latency,cross_asset_yes_dispersion,cross_asset_relative_yes
quote_age_seconds,1.0,0.8826364046437162,0.038675556106109406,0.0069100280615098,-0.0943556800476773,-0.0943556800476773,0.8825975126032182,-0.08113258903715817,-0.06889208639970763,-0.0689341482690716,0.06889208639970763,-0.045226791458519516,-0.08218774216750513,-0.10400074306969531,-0.12204492817689741,0.01813174098616389,-0.22190175085940236,-0.024052720511758253,-0.0001645746641985602
time_since_quote_update_seconds,0.8826364046437162,1.0,-6.917670769550596e-05,-0.007942797495025243,-0.04503390530501507,-0.04503390530501507,0.9999982646238367,-0.028123966809648224,-0.01288218666949196,-0.012911502375938312,0.01288218666949196,-0.029082541775632884,-0.01858502549640287,-0.024083784789499484,-0.021299568225577648,-0.010558438630705713,-0.0005285624253279751,-0.06971886873703002,-0.007548607071935248
repricing_velocity,0.038675556106109406,-6.917670769550596e-05,1.0,0.5876705440061856,-0.10700674275139313,-0.10700674275139313,-6.917773238151322e-05,-0.016167561437156096,-0.0567013162841063,-0.056587779999955734,0.0567013162841063,0.09613381223467046,-0.019873951540833615,0.04992116039102125,-0.020831264660340465,0.1550426872154579,0.047794773576403785,0.1291623677797009,0.16038128933803353
repricing_acceleration,0.0069100280615098,-0.007942797495025243,0.5876705440061856,1.0,-0.07231713598086768,-0.07231713598086768,-0.00792472084541565,-0.11668616186036276,-0.16268658067817407,-0.1626004676066888,0.16268658067817407,-0.010479094550514078,0.030046418087143482,0.015637909974645894,0.030754446100937336,-0.015476241446275915,0.058124096386435974,0.06283053823089531,0.02786513901659888
yes_change_frequency_30s,-0.0943556800476773,-0.04503390530501507,-0.10700674275139313,-0.07231713598086768,1.0,1.0,-0.045069383262015546,0.04505994775936089,0.00812701677699007,0.007956019082558347,-0.00812701677699007,0.05979700438312177,0.05689049031536807,0.1745528711757915,0.22027963895281077,-0.12495140106276004,-0.00971240289341837,-0.018994602861367997,-0.05103086337895154
no_change_frequency_30s,-0.0943556800476773,-0.04503390530501507,-0.10700674275139313,-0.07231713598086768,1.0,1.0,-0.045069383262015546,0.04505994775936089,0.00812701677699007,0.007956019082558347,-0.00812701677699007,0.05979700438312177,0.05689049031536807,0.1745528711757915,0.22027963895281077,-0.12495140106276004,-0.00971240289341837,-0.018994602861367997,-0.05103086337895154
consecutive_quote_stability,0.8825975126032182,0.9999982646238367,-6.917773238151322e-05,-0.00792472084541565,-0.045069383262015546,-0.045069383262015546,1.0,-0.02812438339835601,-0.01288237748800396,-0.012911693628691769,0.01288237748800396,-0.028873155547918194,-0.018673738882854413,-0.02402197045024444,-0.021271953173515528,-0.01046470298721518,-0.0005220384392149266,-0.06973760684726678,-0.007437998834822841
bid_ask_spread,-0.08113258903715817,-0.028123966809648224,-0.016167561437156096,-0.11668616186036276,0.04505994775936089,0.04505994775936089,-0.02812438339835601,1.0,0.8987714306909949,0.8994271835127909,-0.8987714306909949,-0.10304660094403069,-0.0642164076441294,-0.10573341922877078,-0.0764836849970702,-0.06826544969524383,-0.0166899522002085,0.007722731098258962,0.03120043148881616
spread_change,-0.06889208639970763,-0.01288218666949196,-0.0567013162841063,-0.16268658067817407,0.00812701677699007,0.00812701677699007,-0.01288237748800396,0.8987714306909949,1.0,0.9999956469584752,-1.0,-0.09714814385311454,-0.034601080416751494,-0.07431942678652381,-0.033890842249599,-0.08928257044964917,-0.0015596820340955482,0.02117575117097179,0.03553963308549506
spread_velocity,-0.0689341482690716,-0.012911502375938312,-0.056587779999955734,-0.1626004676066888,0.007956019082558347,0.007956019082558347,-0.012911693628691769,0.8994271835127909,0.9999956469584752,1.0,-0.9999956469584752,-0.0972488478799159,-0.03461781259004572,-0.0743904601553974,-0.03407973138853996,-0.08898051276305619,-0.0016177537217719842,0.021177631846589565,0.03554408026633108
spread_compression,0.06889208639970763,0.01288218666949196,0.0567013162841063,0.16268658067817407,-0.00812701677699007,-0.00812701677699007,0.01288237748800396,-0.8987714306909949,-1.0,-0.9999956469584752,1.0,0.09714814385311454,0.034601080416751494,0.07431942678652381,0.033890842249599,0.08928257044964917,0.0015596820340955482,-0.02117575117097179,-0.03553963308549506
yes_bid_size,-0.045226791458519516,-0.029082541775632884,0.09613381223467046,-0.010479094550514078,0.05979700438312177,0.05979700438312177,-0.028873155547918194,-0.10304660094403069,-0.09714814385311454,-0.0972488478799159,0.09714814385311454,1.0,0.10160471887255537,0.6367224083771853,0.5528843939470812,0.13677454022520874,-0.025635145917706676,0.023889143848975704,0.04609451442927971
