session_number,market_id,asset,timestamp,seconds_to_expiry,quote_age_seconds,lifetime_seconds,cancellation_latency_seconds,spread,posted_bid,posted_ask,bid_fill_proxy,ask_fill_proxy,two_sided_fill_proxy,bid_expected_filled_shares,ask_expected_filled_shares,matched_shares,unmatched_long_shares,unmatched_short_shares,exit_bid,exit_ask,spread_capture_pnl,long_inventory_pnl,short_inventory_pnl,pnl,filled_shares,pnl_per_filled_share,policy
1,0x361e02b17b8c1de1305067c5fe90180c26464cc4107f64938641a1916efa3803,ETH,2026-06-23T12:08:59.899930+00:00,60.10007,1.95593,2,2.0,0.030000000000000027,0.52,0.55,False,True,False,0.0,10.125,0.0,0.0,10.125,0.57,0.58,0.0,0.0,-0.3543749999999991,-0.3543749999999991,10.125,-0.03499999999999991,all_assets_2s
1,0x10b94fc16e760e9861168bfa5c164715dc694173a5fdfb9586e93161a4972310,SOL,2026-06-23T12:15:57.897492+00:00,242.102508,1.959492,2,2.0,0.03999999999999998,0.31,0.35,False,True,False,0.0,6.75,0.0,0.0,6.75,0.55,0.56,0.0,0.0,-1.4512500000000006,-1.4512500000000006,6.75,-0.21500000000000008,all_assets_2s
1,0x10b94fc16e760e9861168bfa5c164715dc694173a5fdfb9586e93161a4972310,SOL,2026-06-23T12:16:01.894099+00:00,238.105901,1.871099,2,2.0,0.06000000000000005,0.5,0.56,True,False,False,6.300000000000001,0.0,0.0,6.300000000000001,0.0,0.49,0.5,0.0,-0.09450000000000007,0.0,-0.09450000000000007,6.300000000000001,-0.01500000000000001,all_assets_2s
1,0x10b94fc16e760e9861168bfa5c164715dc694173a5fdfb9586e93161a4972310,SOL,2026-06-23T12:16:13.898557+00:00,226.101443,1.882557,2,2.0,0.06,0.29,0.35,True,True,True,46.875,1.875,1.875,45.0,0.0,0.26,0.27,0.09374999999999999,-1.5749999999999986,0.0,-1.4812499999999986,48.75,-0.030384615384615357,all_assets_2s
1,0x5e2774ee02ae824e6540e1ed8b8763072ddef48e61e870f0633386de66d15fb4,BTC,2026-06-23T12:16:35.894027+00:00,204.105973,1.950027,2,2.0,0.06,0.36,0.42,False,False,False,0.0,0.0,0.0,0.0,0.0,0.38,0.39,0.0,0.0,0.0,0.0,0.0,0.0,all_assets_2s
1,0x5e2774ee02ae824e6540e1ed8b8763072ddef48e61e870f0633386de66d15fb4,BTC,2026-06-23T12:18:17.905722+00:00,102.094278,1.984722,2,2.0,0.12,0.38,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.42,0.43,0.0,0.0,0.0,0.0,0.0,0.0,all_assets_2s
1,0x5e2774ee02ae824e6540e1ed8b8763072ddef48e61e870f0633386de66d15fb4,BTC,2026-06-23T12:18:25.898736+00:00,94.101264,1.999736,2,2.0,0.06,0.3,0.36,True,False,False,22.9575,0.0,0.0,22.9575,0.0,0.21,0.22,0.0,-2.1809625,0.0,-2.1809625,22.9575,-0.095,all_assets_2s
1,0x99510e817d4c96ff676c7c7ba8a244dbf522bf7e5724c76b35c045058a8526b9,SOL,2026-06-23T12:20:03.893105+00:00,296.106895,1.993105,2,2.0,0.07999999999999996,0.33,0.41,False,False,False,0.0,0.0,0.0,0.0,0.0,0.33,0.34,0.0,-0.0,0.0,0.0,0.0,0.0,all_assets_2s
1,0x99510e817d4c96ff676c7c7ba8a244dbf522bf7e5724c76b35c045058a8526b9,SOL,2026-06-23T12:21:09.906928+00:00,230.093072,1.952928,2,2.0,0.04000000000000001,0.22,0.26,True,False,False,43.275000000000006,0.0,0.0,43.275000000000006,0.0,0.18,0.19,0.0,-1.9473750000000005,0.0,-1.9473750000000005,43.275000000000006,-0.045000000000000005,all_assets_2s
1,0x99510e817d4c96ff676c7c7ba8a244dbf522bf7e5724c76b35c045058a8526b9,SOL,2026-06-23T12:22:01.898744+00:00,178.101256,1.632744,2,2.0,0.03999999999999998,0.17,0.21,True,False,False,6.89625,0.0,0.0,6.89625,0.0,0.13,0.14,0.0,-0.31033125000000006,0.0,-0.31033125000000006,6.89625,-0.045000000000000005,all_assets_2s
