asset,market_id,question,direction,yes_token_id,no_token_id,external_move,polymarket_move,lag_score,confidence,reason,timestamp
SOL,0x8e22e9bf1a5c5cf1e5a91126865227cf0b75a5ec64611f0e0b23348e2b8eebc6,"Solana Up or Down - June 24, 11:45AM-11:50AM ET",UP,102304108652296915865332182480868977034413246553859135522281449435741768789566,2328711641606846676012999866949628953856724708610953220821974696231673023123,0.00163181,-0.01,0.679919,0.701927,qualified_external_move_not_repriced,2026-06-24T15:48:20.766212+00:00
ETH,0x898e75f4a2714851629ab01153214fbf585c570d631964d411eb3f85d6f77427,"Ethereum Up or Down - June 24, 12:00PM-12:05PM ET",DOWN,96981257942830926892712543334284989389715497012315736131647104747151031639657,61490859804227384149111920622251214504554712845554971909828003017475006481206,-0.00104868,0.01,0.436951,0.483256,qualified_external_move_not_repriced,2026-06-24T16:03:38.757738+00:00
SOL,0x76ee4df37777787c309b30aa15d0861f505cc65be0cea6ab16949e8fba9fa172,"Solana Up or Down - June 24, 12:20PM-12:25PM ET",DOWN,88684620684934424894328888667971883394853553144567574857592971675484134936743,16973894241730855857990941804476397392018045004669672710594373546235158036332,-0.00192052,0.135,0.800217,0.800195,qualified_external_move_not_repriced,2026-06-24T16:22:52.762411+00:00
BTC,0x6a9cd2dd7bc9c9807d3452c9f1a97c34ac7aedbc934b79054d8b3a0bfdcd4e42,"Bitcoin Up or Down - June 24, 12:45PM-12:50PM ET",UP,105753060303901016644764767369014984603269563031066710526288755766023988566135,39693435440833639330340767694826898425357272610671516617456465724529511462623,0.00139822,0.0,0.582592,0.614333,qualified_external_move_not_repriced,2026-06-24T16:48:50.765219+00:00
SOL,0x7d0f63daa0e0bd4993d80fa4bcb62fd622043fb264ec4a7aa7b875871c6a353a,"Solana Up or Down - June 24, 12:50PM-12:55PM ET",UP,111711622847315816830650256579114213852699437426886103149191622961628108337963,36495177809024956523257341651583006997523109989478250824922132268268022792528,0.00150512,-0.03,0.627132,0.654419,qualified_external_move_not_repriced,2026-06-24T16:52:04.761668+00:00
ETH,0xabff544d3602969cb25677257451bdb7c6ad59b48e75d1d633afb248b012b06c,"Ethereum Up or Down - June 24, 12:50PM-12:55PM ET",DOWN,51000752535342986788708620206433762921693748597350378782571158934402611314213,48565067972414740241595337243693451442277553445657415815639630109906832173793,-0.00265087,0.0,1.0,0.992,qualified_external_move_not_repriced,2026-06-24T16:53:54.758545+00:00
SOL,0xd8e21b0124221e5a6948b65f0b5c1b7c563a3c7e6ea11a1e7d760638a2e885ba,"Solana Up or Down - June 24, 1:20PM-1:25PM ET",DOWN,28114218324325442554664504415945138521145350583256895167137858402292432087607,109155460330612704713192864594916232329002335210687001187230031485306149242804,-0.00151676,0.0,0.631983,0.648785,qualified_external_move_not_repriced,2026-06-24T17:20:12.764868+00:00
ETH,0x0a15e96a2f8db3533603fd8a311915394fd8b8b6cbc3c3b90e5225964660bd94,"Ethereum Up or Down - June 24, 1:25PM-1:30PM ET",UP,102116838107414852913928037210651910758976866923458765028234554015457875514327,106101347756720317405495910680641941300151468212972024454287408182251195029417,0.00099817,-0.02,0.415904,0.464313,qualified_external_move_not_repriced,2026-06-24T17:26:36.761972+00:00
SOL,0x8b89ebef2e337682d0c761c2d9ea76b14916b0fbaa6b07ab496782aa61d08092,"Solana Up or Down - June 24, 1:25PM-1:30PM ET",DOWN,9019439275622632659417780079631055623556323843018909086316438783882561238283,34076347997461525899372924382088118778315466696422999818384485362567220901024,-0.0012171,0.01,0.507125,0.546413,qualified_external_move_not_repriced,2026-06-24T17:28:32.764791+00:00
ETH,0x931296be6d3fc5e74df946ebeb47595bd30d0b51c747520c22454b54dbde783c,"Ethereum Up or Down - June 24, 1:45PM-1:50PM ET",DOWN,46929755726901821900102318794657033368412388216404452496645173784453982523566,26142665473954895490101022953672087523711572819276421985301047903444627197957,-0.00144858,0.04,0.603576,0.633218,qualified_external_move_not_repriced,2026-06-24T17:46:02.756352+00:00
SOL,0x5a189bc1b252af1469e531eb62cee5995fe46dd01bcaff6b137a7bc3109e2e43,"Solana Up or Down - June 24, 2:00PM-2:05PM ET",DOWN,48326167082965897430467452556419832208258454687388924765483244634432739783724,96743585056018013748925561225569196856354908299963424198068440704220998247202,-0.0019954,-0.01,0.414748,0.546607,qualified_external_move_not_repriced,2026-06-24T18:00:58.760168+00:00
BTC,0x17dc5c06a8038c8b9fe98dc10caabed5e643e594aa096dfa257871e4e6fc79db,"Bitcoin Up or Down - June 24, 2:05PM-2:10PM ET",DOWN,13641621897930941721478214883824576290817410847165058706382737707167614328678,27897955064426782288531940188981351571850241242984871120947684439733967128138,-0.00110644,0.07,0.461018,0.504916,qualified_external_move_not_repriced,2026-06-24T18:05:24.753766+00:00
ETH,0x063b6476f22b96ffa4e2b1b40b6be64b68228f02258cf4f2cb5ae83ecbf708fd,"Ethereum Up or Down - June 24, 2:20PM-2:25PM ET",UP,50331666533385589045787076356206726804005307647081097628084813398502187468432,1742315272848618625060129681807502579103370385204243766053675642038074192397,0.00109338,0.0,0.455576,0.500018,qualified_external_move_not_repriced,2026-06-24T18:20:36.756990+00:00
BTC,0x3d34074cabf8c0c7082b719f8b1d246fbf3344709e9dceb7baf2a9e21d9dcd71,"Bitcoin Up or Down - June 24, 2:20PM-2:25PM ET",UP,46446717332370704802830815228651261242045864995241962795719583192420447793029,93224373647656210360693996231872845100175958393411344596792116663864519777458,0.0010921,-0.02,0.455043,0.499539,qualified_external_move_not_repriced,2026-06-24T18:21:18.756089+00:00
SOL,0x76ceb5966715afdbb09250dea84bccfc837e72c59d375b0ca15e03fcc417fb4e,"Solana Up or Down - June 24, 2:50PM-2:55PM ET",UP,109281759243672600032200740783181031105406599805512145333991462378273524790861,83601286920083321637794667615172345360888065511933675740759537988056593902792,0.00106302,-0.12,0.442926,0.488633,qualified_external_move_not_repriced,2026-06-24T18:53:46.759987+00:00
ETH,0x1aee94333f9f59a16641bfb6bb79781128bfc7c762e6ec35a3e28ae595c8f710,"Ethereum Up or Down - June 24, 3:10PM-3:15PM ET",UP,97415906053512581845460370676296259313363298482902985445311061451172230069257,60024736617274287625693399290929019576392225801380014938116432985882085487500,0.00136524,-0.02,0.56885,0.601965,qualified_external_move_not_repriced,2026-06-24T19:13:28.758704+00:00
ETH,0x4982ded7e4b9233220595f26cc997fa151f1902c8893a0a78a52d656b5fdb3d4,"Ethereum Up or Down - June 24, 3:15PM-3:20PM ET",DOWN,25941161307364143888767089340295636115752458093056309623717316286036845187910,102707027502674252820334960658330148345601388294641469189513492077082984895793,-0.00101175,0.02,0.421561,0.469405,qualified_external_move_not_repriced,2026-06-24T19:15:48.754190+00:00
SOL,0x3ba3b3f951b2628ef716722de268dd5e244f8d45fd355168fab2e3b85af75128,"Solana Up or Down - June 24, 3:50PM-3:55PM ET",DOWN,109242460662832181522058369873195009851366533900221278755066493073180626356468,108536416830507673769048985055851830609673417954429866328902813741591347722752,-0.00120882,0.006,0.503677,0.541309,qualified_external_move_not_repriced,2026-06-24T19:53:38.755627+00:00
BTC,0xd14dfda063d0d2dafe354fe938c73ea7643db9f344cf11598794d252f8d453a1,"Bitcoin Up or Down - June 24, 4:05PM-4:10PM ET",DOWN,16497035247697190993164512076744899078863130401669433328474391082325360425845,68374245085727195439148258752325308802718161327500637377335548482086417307602,-0.00132842,0.0085,0.553508,0.593158,qualified_external_move_not_repriced,2026-06-24T20:08:36.766880+00:00
