trial,sample_size,wins,win_rate,pnl_before_slippage,pnl_after_slippage,expectancy_after_slippage,max_drawdown,signals_per_hour
1,172,77,0.4476744186046512,-0.273,-3.713,-0.02158720930232558,3.743,7.16666655045718
2,172,82,0.47674418604651164,0.2165,-3.2235,-0.01874127906976745,3.2985,7.16666655045718
3,172,89,0.5174418604651163,0.525,-2.915,-0.01694767441860466,3.185,7.16666655045718
4,172,80,0.46511627906976744,0.2485,-3.1915,-0.018555232558139536,3.3015,7.16666655045718
5,172,76,0.4418604651162791,-0.275,-3.715,-0.021598837209302328,3.78,7.16666655045718
6,172,84,0.4883720930232558,1.568,-1.872,-0.010883720930232559,1.942,7.16666655045718
7,172,77,0.4476744186046512,-0.6535,-4.0935,-0.023799418604651165,4.1585,7.16666655045718
8,172,85,0.4941860465116279,-0.0185,-3.4585,-0.020107558139534888,3.4985,7.16666655045718
9,172,86,0.5,-0.2135,-3.6535,-0.02124127906976744,3.7835,7.16666655045718
10,172,73,0.42441860465116277,-0.808,-4.248,-0.024697674418604657,4.353,7.16666655045718
11,172,78,0.45348837209302323,-0.3135,-3.7535,-0.02182267441860465,3.8035,7.16666655045718
12,172,80,0.46511627906976744,-0.2705,-3.7105,-0.021572674418604658,4.0055,7.16666655045718
13,172,73,0.42441860465116277,-0.753,-4.193,-0.02437790697674419,4.213,7.16666655045718
14,172,81,0.47093023255813954,-0.032,-3.472,-0.02018604651162791,3.532,7.16666655045718
15,172,86,0.5,-0.929,-4.369,-0.02540116279069768,4.419,7.16666655045718
16,172,87,0.5058139534883721,1.346,-2.094,-0.012174418604651165,2.4405,7.16666655045718
17,172,86,0.5,-0.0515,-3.4915,-0.020299418604651166,3.5415,7.16666655045718
18,172,77,0.4476744186046512,-1.2155,-4.6555,-0.02706686046511628,4.6855,7.16666655045718
19,172,86,0.5,0.186,-3.254,-0.01891860465116279,3.364,7.16666655045718
20,172,73,0.42441860465116277,-1.218,-4.658,-0.02708139534883721,4.658,7.16666655045718
21,172,86,0.5,0.472,-2.968,-0.017255813953488373,3.0895,7.16666655045718
22,172,81,0.47093023255813954,-0.4915,-3.9315,-0.022857558139534884,4.1015,7.16666655045718
23,172,85,0.4941860465116279,-0.0855,-3.5255,-0.02049709302325581,3.8555,7.16666655045718
24,172,85,0.4941860465116279,0.4825,-2.9575,-0.017194767441860465,3.0175,7.16666655045718
25,172,78,0.45348837209302323,-0.3515,-3.7915,-0.022043604651162795,4.055,7.16666655045718
26,172,82,0.47674418604651164,-0.838,-4.278,-0.024872093023255815,4.298,7.16666655045718
27,172,85,0.4941860465116279,1.215,-2.225,-0.012936046511627908,2.7635,7.16666655045718
28,172,71,0.4127906976744186,-1.7895,-5.2295,-0.03040406976744186,5.3095,7.16666655045718
29,172,83,0.48255813953488375,0.162,-3.278,-0.019058139534883722,3.313,7.16666655045718
30,172,89,0.5174418604651163,1.0325,-2.4075,-0.013997093023255813,2.6375,7.16666655045718
31,172,82,0.47674418604651164,-0.352,-3.792,-0.022046511627906974,3.897,7.16666655045718
32,172,74,0.43023255813953487,-0.7185,-4.1585,-0.024177325581395345,4.2085,7.16666655045718
33,172,88,0.5116279069767442,1.0145,-2.4255,-0.014101744186046514,2.4705,7.16666655045718
34,172,75,0.436046511627907,-0.624,-4.064,-0.023627906976744183,4.264,7.16666655045718
35,172,82,0.47674418604651164,0.53,-2.91,-0.01691860465116279,3.0,7.16666655045718
36,172,77,0.4476744186046512,-0.5165,-3.9565,-0.02300290697674419,3.9865,7.16666655045718
37,172,86,0.5,0.6465,-2.7935,-0.016241279069767443,3.0385,7.16666655045718
38,172,86,0.5,1.49,-1.95,-0.011337209302325587,2.03,7.16666655045718
39,172,91,0.5290697674418605,1.207,-2.233,-0.012982558139534884,2.388,7.16666655045718
40,172,86,0.5,1.8165,-1.6235,-0.009438953488372094,1.6635,7.16666655045718
41,172,85,0.4941860465116279,-0.4815,-3.9215,-0.022799418604651164,3.9215,7.16666655045718
42,172,86,0.5,0.5795,-2.8605,-0.01663081395348837,2.8805,7.16666655045718
43,172,84,0.4883720930232558,0.436,-3.004,-0.017465116279069767,3.074,7.16666655045718
44,172,74,0.43023255813953487,-1.178,-4.618,-0.026848837209302326,4.618,7.16666655045718
45,172,88,0.5116279069767442,0.4145,-3.0255,-0.01759011627906977,3.209,7.16666655045718
46,172,87,0.5058139534883721,-0.251,-3.691,-0.021459302325581398,3.701,7.16666655045718
47,172,92,0.5348837209302325,0.923,-2.517,-0.01463372093023256,2.627,7.16666655045718
48,172,80,0.46511627906976744,-0.291,-3.731,-0.021691860465116276,3.956,7.16666655045718
49,172,77,0.4476744186046512,-1.02,-4.46,-0.025930232558139536,4.54,7.16666655045718
50,172,73,0.42441860465116277,-1.2495,-4.6895,-0.02726453488372093,4.7095,7.16666655045718
51,172,91,0.5290697674418605,0.702,-2.738,-0.01591860465116279,2.848,7.16666655045718
52,172,77,0.4476744186046512,-1.0685,-4.5085,-0.026212209302325585,4.5685,7.16666655045718
53,172,86,0.5,0.227,-3.213,-0.018680232558139533,3.393,7.16666655045718
54,172,76,0.4418604651162791,-0.41,-3.85,-0.022383720930232557,4.03,7.16666655045718
55,172,86,0.5,0.03,-3.41,-0.019825581395348835,3.7,7.16666655045718
56,172,89,0.5174418604651163,1.006,-2.434,-0.014151162790697672,2.524,7.16666655045718
57,172,86,0.5,0.8315,-2.6085,-0.015165697674418603,2.8885,7.16666655045718
58,172,82,0.47674418604651164,-0.1665,-3.6065,-0.02096802325581396,3.6165,7.16666655045718
59,172,77,0.4476744186046512,-1.172,-4.612,-0.026813953488372094,4.847,7.16666655045718
60,172,80,0.46511627906976744,-0.022,-3.462,-0.02012790697674419,3.567,7.16666655045718
61,172,84,0.4883720930232558,0.186,-3.254,-0.018918604651162796,3.272,7.16666655045718
62,172,80,0.46511627906976744,0.5345,-2.9055,-0.016892441860465117,3.49,7.16666655045718
63,172,88,0.5116279069767442,1.197,-2.243,-0.013040697674418605,2.463,7.16666655045718
64,172,75,0.436046511627907,-1.343,-4.783,-0.027808139534883723,5.0455,7.16666655045718
65,172,96,0.5581395348837209,2.034,-1.406,-0.00817441860465116,1.771,7.16666655045718
66,172,71,0.4127906976744186,-1.4635,-4.9035,-0.02850872093023256,5.1235,7.16666655045718
67,172,83,0.48255813953488375,1.036,-2.404,-0.013976744186046514,2.479,7.16666655045718
68,172,82,0.47674418604651164,0.2235,-3.2165,-0.018700581395348838,3.2515,7.16666655045718
69,172,94,0.5465116279069767,1.284,-2.156,-0.01253488372093023,2.166,7.16666655045718
70,172,81,0.47093023255813954,-0.523,-3.963,-0.023040697674418607,3.973,7.16666655045718
71,172,91,0.5290697674418605,1.098,-2.342,-0.01361627906976744,2.432,7.16666655045718
72,172,79,0.45930232558139533,-0.491,-3.931,-0.0228546511627907,4.066,7.16666655045718
73,172,83,0.48255813953488375,0.199,-3.241,-0.018843023255813957,3.4725,7.16666655045718
74,172,80,0.46511627906976744,0.185,-3.255,-0.018924418604651168,3.32,7.16666655045718
75,172,83,0.48255813953488375,0.1265,-3.3135,-0.019264534883720933,3.479,7.16666655045718
76,172,83,0.48255813953488375,-0.2325,-3.6725,-0.021351744186046517,3.9075,7.16666655045718
77,172,76,0.4418604651162791,-1.0825,-4.5225,-0.026293604651162792,4.7425,7.16666655045718
78,172,81,0.47093023255813954,-0.2885,-3.7285,-0.02167732558139535,3.7885,7.16666655045718
79,172,82,0.47674418604651164,0.5215,-2.9185,-0.01696802325581395,3.4065,7.16666655045718
80,172,77,0.4476744186046512,-0.439,-3.879,-0.02255232558139535,3.969,7.16666655045718
81,172,89,0.5174418604651163,0.8905,-2.5495,-0.014822674418604654,2.84,7.16666655045718
82,172,95,0.5523255813953488,0.7365,-2.7035,-0.015718023255813954,2.9035,7.16666655045718
83,172,85,0.4941860465116279,0.325,-3.115,-0.018110465116279072,3.1655,7.16666655045718
84,172,89,0.5174418604651163,0.915,-2.525,-0.014680232558139534,2.525,7.16666655045718
85,172,86,0.5,0.6885,-2.7515,-0.015997093023255814,2.8665,7.16666655045718
86,172,82,0.47674418604651164,-0.139,-3.579,-0.02080813953488372,3.579,7.16666655045718
87,172,83,0.48255813953488375,0.1805,-3.2595,-0.018950581395348835,3.4895,7.16666655045718
88,172,68,0.3953488372093023,-1.476,-4.916,-0.02858139534883721,4.916,7.16666655045718
89,172,86,0.5,0.2085,-3.2315,-0.018787790697674413,3.2715,7.16666655045718
90,172,80,0.46511627906976744,0.005,-3.435,-0.01997093023255814,3.435,7.16666655045718
91,172,90,0.5232558139534884,1.2655,-2.1745,-0.012642441860465117,2.418,7.16666655045718
92,172,91,0.5290697674418605,0.607,-2.833,-0.01647093023255814,3.133,7.16666655045718
93,172,82,0.47674418604651164,-0.308,-3.748,-0.02179069767441861,3.748,7.16666655045718
94,172,90,0.5232558139534884,1.4865,-1.9535,-0.011357558139534887,2.637,7.16666655045718
95,172,82,0.47674418604651164,-0.6065,-4.0465,-0.023526162790697674,4.1065,7.16666655045718
96,172,76,0.4418604651162791,-0.9545,-4.3945,-0.025549418604651156,4.4045,7.16666655045718
97,172,86,0.5,0.3895,-3.0505,-0.01773546511627907,3.6855,7.16666655045718
98,172,88,0.5116279069767442,0.8415,-2.5985,-0.015107558139534887,2.6785,7.16666655045718
99,172,67,0.38953488372093026,-1.705,-5.145,-0.02991279069767442,5.165,7.16666655045718
100,172,81,0.47093023255813954,0.2595,-3.1805,-0.018491279069767445,3.1805,7.16666655045718
101,172,79,0.45930232558139533,0.075,-3.365,-0.019563953488372098,3.795,7.16666655045718
102,172,83,0.48255813953488375,-0.3565,-3.7965,-0.02207267441860465,3.7965,7.16666655045718
103,172,86,0.5,0.8425,-2.5975,-0.015101744186046512,2.854,7.16666655045718
104,172,76,0.4418604651162791,-0.271,-3.711,-0.02157558139534884,3.711,7.16666655045718
105,172,74,0.43023255813953487,-0.858,-4.298,-0.024988372093023258,4.351,7.16666655045718
106,172,70,0.4069767441860465,-1.116,-4.556,-0.026488372093023255,4.571,7.16666655045718
107,172,76,0.4418604651162791,-0.365,-3.805,-0.022122093023255816,3.835,7.16666655045718
108,172,87,0.5058139534883721,0.9465,-2.4935,-0.01449709302325582,2.6785,7.16666655045718
