family,setting,stratum,external_move_threshold_bps,repricing_ratio,min_confidence,min_dataset_seconds_to_expiry,required_horizons,candidate_observations,candidate_count,signal_count,candidate_retention_pct,overlap_retention_pct,signals_per_hour_session_span,signals_per_hour_smoke_span,btc_signals,eth_signals,sol_signals,yes_signals,no_signals,btc_candidate,eth_candidate,sol_candidate,yes_candidate,no_candidate,horizon_30_coverage,horizon_60_coverage,horizon_120_coverage,horizon_180_coverage,reason_external_move_below_threshold,reason_polymarket_already_repriced,reason_near_expiry_insufficient_time,reason_late_entry_window,reason_confidence_below_threshold,reason_qualified,dominant_removed_filter
external_move_threshold_bps,strict,strict,10.0,0.5,0.65,35.0,none,64130,150,35,0.002338998908467176,0.23333333333333334,2.2482423202597444,2.6665675558530566,9,10,16,6,29,65,27,58,80,70,1.0,0.8857142857142857,0.7142857142857143,0.0,41362,16188,6417,0,163,0,external_move_below_threshold
external_move_threshold_bps,current,current,8.0,0.5,0.65,35.0,none,64130,260,48,0.004054264774676439,0.18461538461538463,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,83,171,89,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
external_move_threshold_bps,relaxed,relaxed,6.0,0.5,0.65,35.0,none,64130,402,63,0.0062685170746920316,0.15671641791044777,4.04683617646754,4.799821600535502,17,21,25,15,48,158,117,127,293,109,1.0,0.9365079365079365,0.7619047619047619,0.0,30645,26642,6417,13,411,2,external_move_below_threshold
confidence_threshold,strict,strict,8.0,0.5,0.75,35.0,none,64130,261,48,0.004069858100732886,0.1839080459770115,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,84,171,90,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,0,275,0,external_move_below_threshold
confidence_threshold,current,current,8.0,0.5,0.65,35.0,none,64130,260,48,0.004054264774676439,0.18461538461538463,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,83,171,89,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
confidence_threshold,relaxed,relaxed,8.0,0.5,0.45,35.0,none,64130,253,47,0.003945111492281304,0.1857707509881423,3.0190682586345137,3.58081928928839,14,15,18,9,38,105,69,79,171,82,1.0,0.9148936170212766,0.7659574468085106,0.0,36465,20973,6417,14,238,23,external_move_below_threshold
repricing_ratio_threshold,strict,strict,8.0,0.35,0.65,35.0,none,64130,259,48,0.004038671448619991,0.18532818532818532,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,82,171,88,1.0,0.8958333333333334,0.75,0.0,36465,20974,6417,1,273,0,external_move_below_threshold
repricing_ratio_threshold,current,current,8.0,0.5,0.65,35.0,none,64130,260,48,0.004054264774676439,0.18461538461538463,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,83,171,89,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
repricing_ratio_threshold,relaxed,relaxed,8.0,0.65,0.65,35.0,none,64130,265,50,0.004132231404958678,0.18867924528301888,3.211774743228206,3.8093822226472236,15,16,19,9,41,106,74,85,172,93,1.0,0.88,0.74,0.0,36465,20968,6417,1,279,0,external_move_below_threshold
expiry_filter,strict,strict,8.0,0.5,0.65,90.0,none,64130,201,41,0.0031342585373460158,0.20398009950248755,2.633655289447129,3.123693422570723,14,12,15,9,32,95,53,53,150,51,1.0,1.0,0.8780487804878049,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
expiry_filter,current,current,8.0,0.5,0.65,35.0,none,64130,260,48,0.004054264774676439,0.18461538461538463,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,83,171,89,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
expiry_filter,relaxed,relaxed,8.0,0.5,0.65,20.0,none,64130,274,48,0.004272571339466708,0.17518248175182483,3.0833037534990777,3.6570069337413345,14,16,18,9,39,109,75,90,174,100,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
horizon_filter,strict_180s_required,strict_180s_required,8.0,0.5,0.65,35.0,30|60|120|180,64130,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
horizon_filter,current_no_required_horizon,current_no_required_horizon,8.0,0.5,0.65,35.0,none,64130,260,48,0.004054264774676439,0.18461538461538463,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,83,171,89,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
horizon_filter,relaxed_30s_required,relaxed_30s_required,8.0,0.5,0.65,35.0,30,64130,260,48,0.004054264774676439,0.18461538461538463,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,83,171,89,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold
