scenario,dimension,segment,signals,pnl,expectancy,max_drawdown
executable_quote_0s,session_number,1,130,1.9989999999999999,0.015376923076923076,0.7089999999999999
executable_quote_0s,session_number,2,42,2.3000000000000003,0.054761904761904776,0.2400000000000002
executable_quote_0s,session_number,3,166,7.85,0.047289156626506026,0.35999999999999976
executable_quote_0s,asset,BTC,76,3.5509999999999997,0.04672368421052631,0.2310000000000001
executable_quote_0s,asset,ETH,80,3.2830000000000004,0.041037500000000005,0.39
executable_quote_0s,asset,SOL,182,5.315,0.029203296703296702,0.5069999999999999
executable_quote_0s,side,NO,210,7.035000000000001,0.0335,0.9579999999999999
executable_quote_0s,side,YES,128,5.114,0.039953125,0.42000000000000004
executable_quote_0s,external_move_regime,high,12,1.202,0.10016666666666667,0.08999999999999986
executable_quote_0s,external_move_regime,low,267,8.426,0.03155805243445693,0.7690000000000005
executable_quote_0s,external_move_regime,medium,59,2.521,0.04272881355932203,0.45999999999999996
executable_quote_0s,spread_regime,high,31,0.07999999999999977,0.002580645161290315,0.45
executable_quote_0s,spread_regime,low,27,0.5850000000000005,0.021666666666666685,0.2849999999999999
executable_quote_0s,spread_regime,medium,280,11.484,0.04101428571428571,0.6699999999999998
executable_quote_0s,quote_age_regime,high,26,2.025,0.07788461538461539,0.38
executable_quote_0s,quote_age_regime,low,33,1.4700000000000002,0.044545454545454555,0.3800000000000001
executable_quote_0s,quote_age_regime,medium,279,8.654,0.031017921146953405,0.7689999999999999
executable_quote_2s,session_number,1,130,-1.821,-0.014007692307692308,1.8419999999999979
executable_quote_2s,session_number,2,42,-0.3828000000000002,-0.009114285714285719,0.6078000000000003
executable_quote_2s,session_number,3,166,-1.1119000000000006,-0.006698192771084341,1.8849999999999991
executable_quote_2s,asset,BTC,76,0.24100000000000052,0.0031710526315789542,0.4609999999999998
executable_quote_2s,asset,ETH,80,-0.7569999999999999,-0.009462499999999999,1.1039999999999999
executable_quote_2s,asset,SOL,182,-2.7997000000000014,-0.01538296703296704,3.1906999999999996
executable_quote_2s,side,NO,210,-2.0197000000000007,-0.00961761904761905,2.5296999999999965
executable_quote_2s,side,YES,128,-1.296,-0.010125,1.6809999999999985
executable_quote_2s,external_move_regime,high,12,0.02200000000000002,0.001833333333333335,0.22299999999999998
executable_quote_2s,external_move_regime,low,267,-2.8437000000000006,-0.010650561797752811,3.236699999999996
executable_quote_2s,external_move_regime,medium,59,-0.4940000000000003,-0.008372881355932208,1.114
executable_quote_2s,spread_regime,high,31,-0.925,-0.029838709677419355,1.115
executable_quote_2s,spread_regime,low,27,-0.7299999999999999,-0.02703703703703703,0.73
executable_quote_2s,spread_regime,medium,280,-1.6607000000000007,-0.005931071428571431,2.544799999999995
executable_quote_2s,quote_age_regime,high,26,1.6049999999999998,0.06173076923076922,0.385
executable_quote_2s,quote_age_regime,low,33,-0.42499999999999977,-0.012878787878787872,0.545
executable_quote_2s,quote_age_regime,medium,279,-4.4957,-0.01611362007168459,4.870699999999994
executable_quote_5s_100_shares,session_number,1,130,-0.12793310000000027,-0.0009841007692307714,0.3735169000000001
executable_quote_5s_100_shares,session_number,2,42,-0.08319350000000014,-0.0019807976190476225,0.13656850000000006
executable_quote_5s_100_shares,session_number,3,166,-0.1796555000000002,-0.0010822620481927723,0.32064000000000015
executable_quote_5s_100_shares,asset,BTC,76,0.044747999999999795,0.0005887894736842078,0.30609559999999997
executable_quote_5s_100_shares,asset,ETH,80,0.019763699999999745,0.00024704624999999684,0.2553505
executable_quote_5s_100_shares,asset,SOL,182,-0.45529380000000014,-0.0025016142857142865,0.4991403
executable_quote_5s_100_shares,side,NO,210,-0.6231940000000005,-0.0029675904761904785,0.8036320000000003
executable_quote_5s_100_shares,side,YES,128,0.23241189999999992,0.0018157179687499994,0.2625080000000002
executable_quote_5s_100_shares,external_move_regime,high,12,-0.011542800000000046,-0.0009619000000000038,0.05811680000000003
executable_quote_5s_100_shares,external_move_regime,low,267,-0.22439480000000062,-0.0008404299625468188,0.5615679000000007
executable_quote_5s_100_shares,external_move_regime,medium,59,-0.15484449999999994,-0.002624483050847457,0.2626819999999999
executable_quote_5s_100_shares,spread_regime,high,31,-0.1792860000000001,-0.005783419354838713,0.18827950000000013
executable_quote_5s_100_shares,spread_regime,low,27,-0.13986429999999997,-0.005180159259259258,0.14432479999999995
executable_quote_5s_100_shares,spread_regime,medium,280,-0.07163180000000054,-0.00025582785714285905,0.4116295000000005
executable_quote_5s_100_shares,quote_age_regime,high,26,0.002122400000000047,8.163076923077103e-05,0.2513445999999999
executable_quote_5s_100_shares,quote_age_regime,low,33,0.1597545,0.004841045454545455,0.13217300000000007
executable_quote_5s_100_shares,quote_age_regime,medium,279,-0.5526590000000007,-0.001980856630824375,0.8707529000000005
executable_quote_5s_250_shares,session_number,1,130,-0.11394428000000016,-0.0008764944615384628,0.24877363999999996
executable_quote_5s_250_shares,session_number,2,42,-0.07427760000000014,-0.001768514285714289,0.088946
executable_quote_5s_250_shares,session_number,3,166,-0.2837936000000001,-0.0017096000000000006,0.34210440000000014
executable_quote_5s_250_shares,asset,BTC,76,-0.1598340000000002,-0.0021030789473684237,0.3335897600000002
executable_quote_5s_250_shares,asset,ETH,80,-0.06519736000000013,-0.0008149670000000017,0.1475578400000001
executable_quote_5s_250_shares,asset,SOL,182,-0.24698412000000006,-0.0013570556043956048,0.25365292000000017
executable_quote_5s_250_shares,side,NO,210,-0.4932054000000004,-0.002348597142857145,0.5600390000000004
executable_quote_5s_250_shares,side,YES,128,0.02118992000000001,0.0001655462500000001,0.18384303999999999
executable_quote_5s_250_shares,external_move_regime,high,12,-0.010229520000000021,-0.0008524600000000017,0.027444720000000013
executable_quote_5s_250_shares,external_move_regime,low,267,-0.37393156000000033,-0.0014004927340823983,0.49194840000000023
executable_quote_5s_250_shares,external_move_regime,medium,59,-0.08785440000000007,-0.0014890576271186452,0.1440956
executable_quote_5s_250_shares,spread_regime,high,31,-0.09967840000000004,-0.0032154322580645175,0.10267840000000002
