scenario,dimension,segment,signals,pnl,expectancy,max_drawdown
delay_0_5s_only,session_number,1,130,1.2612232472660438,0.009701717286661875,1.0442046397922178
delay_0_5s_only,session_number,2,42,2.0069988603786886,0.04778568715187354,0.32205968060117107
delay_0_5s_only,session_number,3,166,6.2162936127113255,0.037447551883803165,0.31515842579730446
delay_0_5s_only,asset,BTC,76,2.8189787360130665,0.03709182547385614,0.36271074760630684
delay_0_5s_only,asset,ETH,80,2.3866002959351764,0.029832503699189706,0.422446162963561
delay_0_5s_only,asset,SOL,182,4.278936688407815,0.023510641145097884,0.5923232357470724
delay_0_5s_only,side,NO,210,5.265939452341092,0.0250759021540052,1.1048366777124845
delay_0_5s_only,side,YES,128,4.218576268014966,0.032957627093866924,0.432721169958829
delay_0_5s_only,external_move_regime,high,12,1.0858563123064358,0.09048802602553632,0.1303732255506681
delay_0_5s_only,external_move_regime,low,267,5.5595727194815785,0.02082236973588606,1.1082447532125022
delay_0_5s_only,external_move_regime,medium,59,2.839086688568044,0.04812011336556007,0.5000000000000001
delay_0_5s_only,spread_regime,high,31,1.0705102512737286,0.03453258875076544,0.29574095813509343
delay_0_5s_only,spread_regime,low,27,0.22672243784239823,0.00839712732749623,0.45122349642764537
delay_0_5s_only,spread_regime,medium,280,8.187283031239932,0.029240296540142614,1.1061847713116877
delay_0_5s_only,quote_age_regime,high,26,1.991370767829594,0.07659118337806131,0.44000000000000006
delay_0_5s_only,quote_age_regime,low,33,0.9898282806283702,0.029994796382677887,0.35568169223305174
delay_0_5s_only,quote_age_regime,medium,279,6.503316671898094,0.023309378752322918,1.1421652811624805
delay_1s_only,session_number,1,130,0.8260176122824363,0.006353981632941818,1.2879046320975887
delay_1s_only,session_number,2,42,1.6721313001777944,0.0398126500042332,0.4057186258506573
delay_1s_only,session_number,3,166,5.109589745555369,0.030780661117803428,0.402884199617364
delay_1s_only,asset,BTC,76,2.3881165416089,0.03142258607380132,0.43923779460600526
delay_1s_only,asset,ETH,80,1.981117618930281,0.02476397023662851,0.4398894188627914
delay_1s_only,asset,SOL,182,3.238504497476418,0.017793980755364935,0.7345458810537162
