wallet_group,wallet_group_label,wallet_id,profile_url,evidence_classification,wallet_event_sequence,activity_type,trade_timestamp,trade_datetime_utc,publication_timestamp,publication_datetime_utc,publication_timestamp_source,source_fetch_timestamp,source_fetch_datetime_utc,measurable_publication_delay_seconds,retrospective_retrieval_lag_seconds,delay_measurement_status,timestamp_completeness,event_ordering_key,transaction_hash,condition_id,token_id,market_slug,event_slug,asset_class,outcome,side,price,size,source_endpoint_name,source_endpoint,dedupe_key
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,1,TRADE,1782394331,2026-06-25T13:32:11+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,29364.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:32:11+00:00|0x22c91b38b20a16c31f81ae30c2eca3a19b4c3ad74feb0006be582d302ed2d2de|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x22c91b38b20a16c31f81ae30c2eca3a19b4c3ad74feb0006be582d302ed2d2de|0x7655c4fd3ef010e89f6ebe2e9da0a9a7dd4696e22728ae60cb51a129ad9437dc|5173675811650801883639689058013594095287018166600768528666787486091075167673|1782394331|buy|0.88|5,0x22c91b38b20a16c31f81ae30c2eca3a19b4c3ad74feb0006be582d302ed2d2de,0x7655c4fd3ef010e89f6ebe2e9da0a9a7dd4696e22728ae60cb51a129ad9437dc,5173675811650801883639689058013594095287018166600768528666787486091075167673,btc-updown-15m-1782394200,btc-updown-15m-1782394200,BTC,Down,BUY,0.88,5,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x22c91b38b20a16c31f81ae30c2eca3a19b4c3ad74feb0006be582d302ed2d2de|0x7655c4fd3ef010e89f6ebe2e9da0a9a7dd4696e22728ae60cb51a129ad9437dc|5173675811650801883639689058013594095287018166600768528666787486091075167673|1782394331|buy|0.88|5
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,2,TRADE,1782394331,2026-06-25T13:32:11+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,29364.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:32:11+00:00|0x5fc124c81c1c1af9305249f229259a944d5709786f2d14deee460d34fb62f450|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x5fc124c81c1c1af9305249f229259a944d5709786f2d14deee460d34fb62f450|0x5b58ab6adb16cc1ca5d2b8807e12b0d0b92a096b054307fc8da31cfb192833f2|24009185147880583114713972137604211853024618899236121445948699920010913954885|1782394331|buy|0.850227255047517|5.116278,0x5fc124c81c1c1af9305249f229259a944d5709786f2d14deee460d34fb62f450,0x5b58ab6adb16cc1ca5d2b8807e12b0d0b92a096b054307fc8da31cfb192833f2,24009185147880583114713972137604211853024618899236121445948699920010913954885,bitcoin-up-or-down-june-25-2026-9am-et,bitcoin-up-or-down-june-25-2026-9am-et,BTC,Down,BUY,0.850227255047517,5.116278,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x5fc124c81c1c1af9305249f229259a944d5709786f2d14deee460d34fb62f450|0x5b58ab6adb16cc1ca5d2b8807e12b0d0b92a096b054307fc8da31cfb192833f2|24009185147880583114713972137604211853024618899236121445948699920010913954885|1782394331|buy|0.850227255047517|5.116278
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,3,TRADE,1782394331,2026-06-25T13:32:11+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,29364.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:32:11+00:00|0x5fcfdd5808e5682f944e5e7a3f6e652fd12ce5fb5b4a90eff28e670036f8c107|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x5fcfdd5808e5682f944e5e7a3f6e652fd12ce5fb5b4a90eff28e670036f8c107|0xe4cd94351eabfea33a56ca15131de74a83f472be151382fd069ffa70a85f0e7c|76240980512544639971976345473299282260965184496134281565926450906391821876100|1782394331|buy|0.9|5.11111,0x5fcfdd5808e5682f944e5e7a3f6e652fd12ce5fb5b4a90eff28e670036f8c107,0xe4cd94351eabfea33a56ca15131de74a83f472be151382fd069ffa70a85f0e7c,76240980512544639971976345473299282260965184496134281565926450906391821876100,sol-updown-15m-1782394200,sol-updown-15m-1782394200,SOL,Down,BUY,0.9,5.11111,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x5fcfdd5808e5682f944e5e7a3f6e652fd12ce5fb5b4a90eff28e670036f8c107|0xe4cd94351eabfea33a56ca15131de74a83f472be151382fd069ffa70a85f0e7c|76240980512544639971976345473299282260965184496134281565926450906391821876100|1782394331|buy|0.9|5.11111
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,4,TRADE,1782394339,2026-06-25T13:32:19+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,29356.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:32:19+00:00|0x35041868bae0b63ba2b201b8fbba7866e3000d9f9ce015fbd63d398f200d965e|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x35041868bae0b63ba2b201b8fbba7866e3000d9f9ce015fbd63d398f200d965e|0x7655c4fd3ef010e89f6ebe2e9da0a9a7dd4696e22728ae60cb51a129ad9437dc|5173675811650801883639689058013594095287018166600768528666787486091075167673|1782394339|buy|0.9099999920869549|5.054944,0x35041868bae0b63ba2b201b8fbba7866e3000d9f9ce015fbd63d398f200d965e,0x7655c4fd3ef010e89f6ebe2e9da0a9a7dd4696e22728ae60cb51a129ad9437dc,5173675811650801883639689058013594095287018166600768528666787486091075167673,btc-updown-15m-1782394200,btc-updown-15m-1782394200,BTC,Down,BUY,0.9099999920869549,5.054944,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x35041868bae0b63ba2b201b8fbba7866e3000d9f9ce015fbd63d398f200d965e|0x7655c4fd3ef010e89f6ebe2e9da0a9a7dd4696e22728ae60cb51a129ad9437dc|5173675811650801883639689058013594095287018166600768528666787486091075167673|1782394339|buy|0.9099999920869549|5.054944
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,5,TRADE,1782394690,2026-06-25T13:38:10+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,29005.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:38:10+00:00|0xd3c7195eff5a884935ecc65d0720b26be1b7f102a0f8b51820e8b17d304da891|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0xd3c7195eff5a884935ecc65d0720b26be1b7f102a0f8b51820e8b17d304da891|0x5b58ab6adb16cc1ca5d2b8807e12b0d0b92a096b054307fc8da31cfb192833f2|24009185147880583114713972137604211853024618899236121445948699920010913954885|1782394690|buy|0.8802197578649679|5.112354,0xd3c7195eff5a884935ecc65d0720b26be1b7f102a0f8b51820e8b17d304da891,0x5b58ab6adb16cc1ca5d2b8807e12b0d0b92a096b054307fc8da31cfb192833f2,24009185147880583114713972137604211853024618899236121445948699920010913954885,bitcoin-up-or-down-june-25-2026-9am-et,bitcoin-up-or-down-june-25-2026-9am-et,BTC,Down,BUY,0.8802197578649679,5.112354,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0xd3c7195eff5a884935ecc65d0720b26be1b7f102a0f8b51820e8b17d304da891|0x5b58ab6adb16cc1ca5d2b8807e12b0d0b92a096b054307fc8da31cfb192833f2|24009185147880583114713972137604211853024618899236121445948699920010913954885|1782394690|buy|0.8802197578649679|5.112354
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,6,TRADE,1782394711,2026-06-25T13:38:31+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,28984.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:38:31+00:00|0x35ee9ed2eadc4b1a24b2d9f9dfdd34f065af31cc6facd80027cbc13660b2579f|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x35ee9ed2eadc4b1a24b2d9f9dfdd34f065af31cc6facd80027cbc13660b2579f|0x488a9e9cf1146ac255d04495388a4f50479c4080b2cbac15444fac80bbdbc5e3|2346870892233538772417578509653740473779208508737744841466639451531707345786|1782394711|sell|0.42|26.02,0x35ee9ed2eadc4b1a24b2d9f9dfdd34f065af31cc6facd80027cbc13660b2579f,0x488a9e9cf1146ac255d04495388a4f50479c4080b2cbac15444fac80bbdbc5e3,2346870892233538772417578509653740473779208508737744841466639451531707345786,ethereum-up-or-down-on-june-25-2026,ethereum-up-or-down-on-june-25-2026,ETH,Up,SELL,0.42,26.02,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x35ee9ed2eadc4b1a24b2d9f9dfdd34f065af31cc6facd80027cbc13660b2579f|0x488a9e9cf1146ac255d04495388a4f50479c4080b2cbac15444fac80bbdbc5e3|2346870892233538772417578509653740473779208508737744841466639451531707345786|1782394711|sell|0.42|26.02
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,7,TRADE,1782394817,2026-06-25T13:40:17+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,28878.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:40:17+00:00|0x97a5f70b381137f8ee0953e76497daaeae7a28ca4f6aa84244f07adff775a0bc|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x97a5f70b381137f8ee0953e76497daaeae7a28ca4f6aa84244f07adff775a0bc|0x7a6955812de50296f3eec62dbb1fe0f0806f43871f919ab40a100c0dca06568e|68705537617713681316925927219672229996300423683484692018920950271484414343297|1782394817|sell|0.4|12.34,0x97a5f70b381137f8ee0953e76497daaeae7a28ca4f6aa84244f07adff775a0bc,0x7a6955812de50296f3eec62dbb1fe0f0806f43871f919ab40a100c0dca06568e,68705537617713681316925927219672229996300423683484692018920950271484414343297,solana-up-or-down-on-june-25-2026,solana-up-or-down-on-june-25-2026,SOL,Up,SELL,0.4,12.34,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x97a5f70b381137f8ee0953e76497daaeae7a28ca4f6aa84244f07adff775a0bc|0x7a6955812de50296f3eec62dbb1fe0f0806f43871f919ab40a100c0dca06568e|68705537617713681316925927219672229996300423683484692018920950271484414343297|1782394817|sell|0.4|12.34
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,8,TRADE,1782394828,2026-06-25T13:40:28+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,28867.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:40:28+00:00|0x74d28ba119e9359fdd0683fe5e814788b4d1432bacb92cbf21980f1b2b206920|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x74d28ba119e9359fdd0683fe5e814788b4d1432bacb92cbf21980f1b2b206920|0x1d63814b21126031f42b5f21f0aec66c578abf16c98fae3dca90e9bc4bb8dbc3|87639130509883307318793520118016287496993705653510687944542687802533505471580|1782394828|buy|0.82|5,0x74d28ba119e9359fdd0683fe5e814788b4d1432bacb92cbf21980f1b2b206920,0x1d63814b21126031f42b5f21f0aec66c578abf16c98fae3dca90e9bc4bb8dbc3,87639130509883307318793520118016287496993705653510687944542687802533505471580,sol-updown-4h-1782388800,sol-updown-4h-1782388800,SOL,Down,BUY,0.82,5,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x74d28ba119e9359fdd0683fe5e814788b4d1432bacb92cbf21980f1b2b206920|0x1d63814b21126031f42b5f21f0aec66c578abf16c98fae3dca90e9bc4bb8dbc3|87639130509883307318793520118016287496993705653510687944542687802533505471580|1782394828|buy|0.82|5
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,9,TRADE,1782394850,2026-06-25T13:40:50+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,28845.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:40:50+00:00|0x1ba9ec05d3bda04a5c56a9faf38a856e647b4c3989496e5a7699d5de49c18a52|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x1ba9ec05d3bda04a5c56a9faf38a856e647b4c3989496e5a7699d5de49c18a52|0x07903a7eae25810fe2cf817f7e13460a423b1721ea3166f706812128362beb3d|57409966317932785018243001177463912262227593945672926066008502042496568070763|1782394850|buy|0.85|5.05882,0x1ba9ec05d3bda04a5c56a9faf38a856e647b4c3989496e5a7699d5de49c18a52,0x07903a7eae25810fe2cf817f7e13460a423b1721ea3166f706812128362beb3d,57409966317932785018243001177463912262227593945672926066008502042496568070763,sol-updown-5m-1782394800,sol-updown-5m-1782394800,SOL,Down,BUY,0.85,5.05882,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x1ba9ec05d3bda04a5c56a9faf38a856e647b4c3989496e5a7699d5de49c18a52|0x07903a7eae25810fe2cf817f7e13460a423b1721ea3166f706812128362beb3d|57409966317932785018243001177463912262227593945672926066008502042496568070763|1782394850|buy|0.85|5.05882
A,above_baseline,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,above_baseline_evidence,10,TRADE,1782394858,2026-06-25T13:40:58+00:00,,,unavailable,2026-06-25T21:41:35+00:00,2026-06-25T21:41:35+00:00,,28837.000000,unknown_missing_publication_timestamp,2_of_3,2026-06-25T13:40:58+00:00|0x45f9f13c5273cb40f4d58026b418d42e814e171722417e37904c1da7813b54b4|0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x45f9f13c5273cb40f4d58026b418d42e814e171722417e37904c1da7813b54b4|0x19cd84766b5cf45e4a2f8c6960814827770a748991c304e89466d8d6f9d0a2a6|48349217205726477948683620969169205864337010595119274770283313685227138847421|1782394858|buy|0.829999990119036|5.060235,0x45f9f13c5273cb40f4d58026b418d42e814e171722417e37904c1da7813b54b4,0x19cd84766b5cf45e4a2f8c6960814827770a748991c304e89466d8d6f9d0a2a6,48349217205726477948683620969169205864337010595119274770283313685227138847421,btc-updown-5m-1782394800,btc-updown-5m-1782394800,BTC,Down,BUY,0.829999990119036,5.060235,activity_primary,https://data-api.polymarket.com/activity?user=0x088df3b7e5c1b5c2d4b7dc760863153480cf025e&type=TRADE&limit=100&offset=100&sortBy=TIMESTAMP&sortDirection=DESC,0x088df3b7e5c1b5c2d4b7dc760863153480cf025e|activity_primary|0x45f9f13c5273cb40f4d58026b418d42e814e171722417e37904c1da7813b54b4|0x19cd84766b5cf45e4a2f8c6960814827770a748991c304e89466d8d6f9d0a2a6|48349217205726477948683620969169205864337010595119274770283313685227138847421|1782394858|buy|0.829999990119036|5.060235
