wallet_id,profile_url,total_lifecycle_positions,still_open_positions,partial_exits,full_exits,oversold_bounded_history,average_position_size,median_position_size,average_buy_count_per_lifecycle,average_sell_count_per_lifecycle,average_events_per_lifecycle,percentage_still_open_positions,percentage_sell_only_lifecycles,buy_trade_count,sell_trade_count,total_visible_bought_size,total_visible_sold_size,remaining_visible_size,oversold_visible_size,near_flat_residual_count,fast_crypto_lifecycle_count,fast_crypto_lifecycle_share,dominant_asset,asset_concentration,dominant_outcome,outcome_concentration
0x01b739b360d3c2f6cc8ec84cda900d48650e2eca,https://polymarket.com/0x01b739b360d3c2f6cc8ec84cda900d48650e2eca,27,27,0,0,0,120.0476282222222222222222222,119.9973,7.407407407407407407407407407,0,7.407407407407407407407407407,1,0,200,0,3241.285962,0,3241.285962,0,0,27,1,BTC,1,Down,0.5185185185185185185185185185
0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,88,65,17,1,5,10.93874520454545454545454545,10.1409185,1.909090909090909090909090909,0.3636363636363636363636363636,2.272727272727272727272727273,0.7386363636363636363636363636,0.05681818181818181818181818182,168,32,868.609578,251.55,711.059578,94,0,54,0.6136363636363636363636363636,other,0.3863636363636363636363636364,Up,0.6022727272727272727272727273
0x0e0d60ea727cb7a569ea391263cc10952d1e6e5b,https://polymarket.com/0x0e0d60ea727cb7a569ea391263cc10952d1e6e5b,60,60,0,0,0,19.34491813333333333333333333,16.871459,3.333333333333333333333333333,0,3.333333333333333333333333333,1,0,200,0,1160.695088,0,1160.695088,0,0,60,1,BTC,1,Up,0.5166666666666666666666666667
0x11e7740bc4f6f16f4c56bcdc8abda23f0863d3c2,https://polymarket.com/0x11e7740bc4f6f16f4c56bcdc8abda23f0863d3c2,53,53,0,0,0,21.02289288679245283018867925,16.419345,3.773584905660377358490566038,0,3.773584905660377358490566038,1,0,200,0,1114.213323,0,1114.213323,0,0,53,1,BTC,1,Down,0.5094339622641509433962264151
0x1a39c44c2bc6b23cc715a197cc0d76574ab51bb6,https://polymarket.com/0x1a39c44c2bc6b23cc715a197cc0d76574ab51bb6,132,98,31,3,0,5.554871856060606060606060606,4.444443,1.257575757575757575757575758,0.2575757575757575757575757576,1.515151515151515151515151515,0.7424242424242424242424242424,0,166,34,733.243085,126,607.243085,0,2,132,1,BTC,1,Down,0.5606060606060606060606060606
0x1a561cdee16a7a263231aacc9ee50447ea6cf475,https://polymarket.com/0x1a561cdee16a7a263231aacc9ee50447ea6cf475,54,54,0,0,0,20.31280261111111111111111111,16.9086035,3.703703703703703703703703704,0,3.703703703703703703703703704,1,0,200,0,1096.891341,0,1096.891341,0,0,54,1,BTC,1,Up,0.5185185185185185185185185185
0x1cc53dd33c49d0a222c61ebfd2f24ba48802b199,https://polymarket.com/0x1cc53dd33c49d0a222c61ebfd2f24ba48802b199,60,14,42,3,1,440.8918103166666666666666667,326.816975,2.533333333333333333333333333,0.8,3.333333333333333333333333333,0.2333333333333333333333333333,0.01666666666666666666666666667,152,48,25869.388619,21392.620169,5060.88845,584.12,40,59,0.9833333333333333333333333333,BTC,0.9833333333333333333333333333,Up,0.65
0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,https://polymarket.com/0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,14,14,0,0,0,718.8843216428571428571428571,388.7167455,14.28571428571428571428571429,0,14.28571428571428571428571429,1,0,200,0,10064.380503,0,10064.380503,0,0,12,0.8571428571428571428571428571,BTC,0.2857142857142857142857142857,Down,0.5
0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,https://polymarket.com/0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,21,3,10,0,8,59.04311852380952380952380952,27.142856,3.571428571428571428571428571,5.80952380952380952380952381,9.380952380952380952380952381,0.1428571428571428571428571429,0.09523809523809523809523809524,75,122,1204.905489,838.79,544.812038,178.696549,0,16,0.7619047619047619047619047619,BTC,0.2857142857142857142857142857,Down,0.5238095238095238095238095238
0x251c1a283703beed41590b0875a8dcb8ddd1541f,https://polymarket.com/0x251c1a283703beed41590b0875a8dcb8ddd1541f,23,23,0,0,0,119.130434782608695652173913,40,8.695652173913043478260869565,0,8.695652173913043478260869565,1,0,200,0,2740,0,2740,0,0,23,1,ETH,0.5217391304347826086956521739,Up,0.5217391304347826086956521739
0x25f4707c93e4bfdf26cd6c5cc46c5464691cf88e,https://polymarket.com/0x25f4707c93e4bfdf26cd6c5cc46c5464691cf88e,25,25,0,0,0,47.24909704,45.598833,8,0,8,1,0,200,0,1181.227426,0,1181.227426,0,0,24,0.96,BTC,0.96,Up,0.52
