wallet_id,profile_url,wallet_score,score_band,watchlist_priority_bucket,watchlist_reason_codes,total_fast_crypto_positions,resolved_positions,matched_outcomes,unmatched_outcomes,unresolved_positions,insufficient_evidence_positions,unresolved_fraction,high_confidence_resolved_positions,match_rate,population_baseline_rate,random_baseline_rate,leave_one_out_population_rate,difference_vs_population_baseline,difference_vs_random_baseline,z_score_vs_population_baseline,z_score_vs_random_baseline,wilson_ci_low,wilson_ci_high,btc_resolved_positions,eth_resolved_positions,sol_resolved_positions,sample_gate_status,evidence_classification,invalidation_risks
0x01b739b360d3c2f6cc8ec84cda900d48650e2eca,https://polymarket.com/0x01b739b360d3c2f6cc8ec84cda900d48650e2eca,48,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,27,27,13,14,0,0,0.000000,27,0.481481,0.524609,0.500000,0.525270,-0.043127,-0.018519,-0.448733,-0.192450,0.307430,0.660147,27,0,0,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,63.13636363636363636363636363,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;visible_partial_exit_activity;bounded_history_artifact_risk,54,54,45,9,0,0,0.000000,54,0.833333,0.524609,0.500000,0.514994,0.308725,0.333333,4.542815,4.898979,0.712632,0.909757,18,18,18,passed,above_baseline_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;requires_out_of_sample_confirmation
0x0e0d60ea727cb7a569ea391263cc10952d1e6e5b,https://polymarket.com/0x0e0d60ea727cb7a569ea391263cc10952d1e6e5b,52,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,60,60,38,22,0,0,0.000000,60,0.633333,0.524609,0.500000,0.520833,0.108725,0.133333,1.686402,2.065591,0.506828,0.743793,60,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x11e7740bc4f6f16f4c56bcdc8abda23f0863d3c2,https://polymarket.com/0x11e7740bc4f6f16f4c56bcdc8abda23f0863d3c2,52,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,53,53,29,24,0,0,0.000000,53,0.547170,0.524609,0.500000,0.523919,0.022561,0.047170,0.328896,0.686803,0.414537,0.673426,53,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x1a39c44c2bc6b23cc715a197cc0d76574ab51bb6,https://polymarket.com/0x1a39c44c2bc6b23cc715a197cc0d76574ab51bb6,66,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;concentration_risk,132,132,48,84,0,0,0.000000,132,0.363636,0.524609,0.500000,0.537440,-0.160972,-0.136364,-3.703346,-3.133398,0.286505,0.448480,132,0,0,passed,below_baseline_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x1a561cdee16a7a263231aacc9ee50447ea6cf475,https://polymarket.com/0x1a561cdee16a7a263231aacc9ee50447ea6cf475,52,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,54,54,29,25,0,0,0.000000,54,0.537037,0.524609,0.500000,0.524221,0.012429,0.037037,0.182883,0.544331,0.406051,0.663103,54,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x1cc53dd33c49d0a222c61ebfd2f24ba48802b199,https://polymarket.com/0x1cc53dd33c49d0a222c61ebfd2f24ba48802b199,73.83333333333333333333333334,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;bounded_history_artifact_risk;concentration_risk;near_flat_residual_ambiguity,59,59,44,15,0,0,0.000000,59,0.745763,0.524609,0.500000,0.517062,0.221154,0.245763,3.401558,3.775478,0.622036,0.839442,59,0,0,passed,above_baseline_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;requires_out_of_sample_confirmation
0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,https://polymarket.com/0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,33.14285714285714285714285714,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;small_visible_sample,12,12,6,6,0,0,0.000000,12,0.500000,0.524609,0.500000,0.524775,-0.024609,0.000000,-0.170700,0.000000,0.253778,0.746222,4,4,4,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,https://polymarket.com/0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,59.33333333333333333333333334,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;bounded_history_artifact_risk,16,16,8,8,0,0,0.000000,16,0.500000,0.524609,0.500000,0.524831,-0.024609,0.000000,-0.197107,0.000000,0.279992,0.720008,6,6,4,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
0x251c1a283703beed41590b0875a8dcb8ddd1541f,https://polymarket.com/0x251c1a283703beed41590b0875a8dcb8ddd1541f,45,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility,23,23,11,12,0,0,0.000000,23,0.478261,0.524609,0.500000,0.525212,-0.046348,-0.021739,-0.445090,-0.208514,0.292369,0.670376,11,12,0,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
