wallet_id,profile_url,wallet_score,score_band,coverage_component,fast_crypto_component,lifecycle_activity_component,event_density_component,specialization_component,bounded_history_penalty,still_open_penalty,small_sample_penalty,concentration_penalty,near_flat_ambiguity_penalty,total_lifecycle_positions,fast_crypto_lifecycle_count,fast_crypto_lifecycle_share,partial_exits,percentage_still_open_positions,percentage_sell_only_lifecycles,oversold_bounded_history,average_events_per_lifecycle,dominant_asset,asset_concentration,dominant_outcome,outcome_concentration,missing_required_metric_count,score_version,source_metrics_sha256
0x4228048ea2f8f571ff2777cc32baee584c5134cb,https://polymarket.com/0x4228048ea2f8f571ff2777cc32baee584c5134cb,85.8974358974358974358974359,high_priority,25,20.8974358974358974358974359,15,15,10,0,0,0,0,0,78,62,0.7948717948717948717948717949,34,0.3717948717948717948717948718,0,0,2.564102564102564102564102564,ETH,0.3461538461538461538461538462,Down,0.5128205128205128205128205128,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x4a0b6dacb223f1126080048826f0271dbe31ff39,https://polymarket.com/0x4a0b6dacb223f1126080048826f0271dbe31ff39,84.2,high_priority,25,24.2,15,15,10,0,0,0,0,5,50,48,0.96,30,0.4,0,0,2.28,BTC,0.76,Down,0.52,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,https://polymarket.com/0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,75,high_priority,25,25,15,15,7,0,5,0,5,2,89,89,1,41,0.5393258426966292134831460674,0,0,2.247191011235955056179775281,BTC,1,Down,0.5617977528089887640449438202,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x1cc53dd33c49d0a222c61ebfd2f24ba48802b199,https://polymarket.com/0x1cc53dd33c49d0a222c61ebfd2f24ba48802b199,73.83333333333333333333333334,medium_priority,25,24.66666666666666666666666667,15,15,7,2.833333333333333333333333333,0,0,5,5,60,59,0.9833333333333333333333333333,42,0.2333333333333333333333333333,0.01666666666666666666666666667,1,3.333333333333333333333333333,BTC,0.9833333333333333333333333333,Up,0.65,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x3c6afcbc144b6bb110dbf8538bde2781c24a8a58,https://polymarket.com/0x3c6afcbc144b6bb110dbf8538bde2781c24a8a58,69.5,medium_priority,21,25,11,15,7,2.5,0,0,5,2,44,44,1,12,0.2045454545454545454545454545,0,1,4.545454545454545454545454545,BTC,1,Down,0.5909090909090909090909090909,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x4bfb3f47ad1a0b494ecaa3c1a9bfba22a4c39f3a,https://polymarket.com/0x4bfb3f47ad1a0b494ecaa3c1a9bfba22a4c39f3a,67.31818181818181818181818182,medium_priority,25,25,15,8,7,2.681818181818181818181818182,0,0,5,5,110,110,1,47,0.4545454545454545454545454545,0.009090909090909090909090909091,1,1.818181818181818181818181818,BTC,1,Down,0.5272727272727272727272727273,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x1a39c44c2bc6b23cc715a197cc0d76574ab51bb6,https://polymarket.com/0x1a39c44c2bc6b23cc715a197cc0d76574ab51bb6,66,medium_priority,25,25,11,8,7,0,5,0,5,0,132,132,1,31,0.7424242424242424242424242424,0,0,1.515151515151515151515151515,BTC,1,Down,0.5606060606060606060606060606,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,https://polymarket.com/0x088df3b7e5c1b5c2d4b7dc760863153480cf025e,63.13636363636363636363636363,medium_priority,25,17.27272727272727272727272727,11,15,6,6.136363636363636363636363636,5,0,0,0,88,54,0.6136363636363636363636363636,17,0.7386363636363636363636363636,0.05681818181818181818181818182,5,2.272727272727272727272727273,other,0.3863636363636363636363636364,Up,0.6022727272727272727272727273,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x2e554602dbe0d9549fd5a356892f3f7ddb28c549,https://polymarket.com/0x2e554602dbe0d9549fd5a356892f3f7ddb28c549,61.85950413223140495867768595,medium_priority,25,21.85950413223140495867768595,7,8,10,0,10,0,0,0,121,102,0.8429752066115702479338842975,10,0.7603305785123966942148760331,0,0,1.652892561983471074380165289,BTC,0.3553719008264462809917355372,Up,0.537190082644628099173553719,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,https://polymarket.com/0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,59.33333333333333333333333334,medium_priority,15,19.23809523809523809523809524,15,11,6,6.904761904761904761904761905,0,0,0,0,21,16,0.7619047619047619047619047619,10,0.1428571428571428571428571429,0.09523809523809523809523809524,8,9.380952380952380952380952381,BTC,0.2857142857142857142857142857,Down,0.5238095238095238095238095238,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x54afeb88e709fbfb7e75a1ab8275ed4f0b333130,https://polymarket.com/0x54afeb88e709fbfb7e75a1ab8275ed4f0b333130,59,medium_priority,25,25,7,15,7,0,15,0,5,0,83,83,1,2,0.9759036144578313253012048193,0,0,2.409638554216867469879518072,BTC,1,Down,0.5060240963855421686746987952,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x29a55c2bf8efd1029c001477b34be47d3ca37752,https://polymarket.com/0x29a55c2bf8efd1029c001477b34be47d3ca37752,56.1875,medium_priority,25,22.8125,7,15,7,5.625,10,0,5,0,64,57,0.890625,3,0.84375,0.03125,4,3.078125,ETH,1,Up,0.59375,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x0e0d60ea727cb7a569ea391263cc10952d1e6e5b,https://polymarket.com/0x0e0d60ea727cb7a569ea391263cc10952d1e6e5b,52,medium_priority,25,25,0,15,7,0,15,0,5,0,60,60,1,0,1,0,0,3.333333333333333333333333333,BTC,1,Up,0.5166666666666666666666666667,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x1a561cdee16a7a263231aacc9ee50447ea6cf475,https://polymarket.com/0x1a561cdee16a7a263231aacc9ee50447ea6cf475,52,medium_priority,25,25,0,15,7,0,15,0,5,0,54,54,1,0,1,0,0,3.703703703703703703703703704,BTC,1,Up,0.5185185185185185185185185185,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x11e7740bc4f6f16f4c56bcdc8abda23f0863d3c2,https://polymarket.com/0x11e7740bc4f6f16f4c56bcdc8abda23f0863d3c2,52,medium_priority,25,25,0,15,7,0,15,0,5,0,53,53,1,0,1,0,0,3.773584905660377358490566038,BTC,1,Down,0.5094339622641509433962264151,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x47d7dfd8b93e656d44ed173c848203e05982113a,https://polymarket.com/0x47d7dfd8b93e656d44ed173c848203e05982113a,52,medium_priority,25,25,0,15,7,0,15,0,5,0,51,51,1,0,1,0,0,3.921568627450980392156862745,BTC,1,Down,0.5098039215686274509803921569,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0xd0d6053c3c37e727402d84c14069780d360993aa,https://polymarket.com/@k9Q2mX4L8A7ZP3R,48.3076923076923076923076923,low_priority,15,20.92307692307692307692307692,11,11,10,9.615384615384615384615384616,5,5,0,0,13,11,0.8461538461538461538461538462,2,0.6153846153846153846153846154,0.2307692307692307692307692308,3,15.38461538461538461538461538,BTC,0.5384615384615384615384615385,Up,0.5384615384615384615384615385,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x01b739b360d3c2f6cc8ec84cda900d48650e2eca,https://polymarket.com/0x01b739b360d3c2f6cc8ec84cda900d48650e2eca,48,low_priority,21,25,0,15,7,0,15,0,5,0,27,27,1,0,1,0,0,7.407407407407407407407407407,BTC,1,Down,0.5185185185185185185185185185,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x4d0730b1c8b4da2444ab7a4a389a607584132b94,https://polymarket.com/0x4d0730b1c8b4da2444ab7a4a389a607584132b94,46.2368421052631578947368421,low_priority,25,14.86842105263157894736842105,7,8,6,2.631578947368421052631578947,10,0,0,2,152,75,0.4934210526315789473684210526,13,0.8947368421052631578947368421,0.006578947368421052631578947368,1,1.315789473684210526315789474,other,0.5065789473684210526315789474,Up,0.5460526315789473684210526316,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x25f4707c93e4bfdf26cd6c5cc46c5464691cf88e,https://polymarket.com/0x25f4707c93e4bfdf26cd6c5cc46c5464691cf88e,46.2,low_priority,21,23.2,0,15,7,0,15,0,5,0,25,24,0.96,0,1,0,0,8,BTC,0.96,Up,0.52,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x59e9593d9ad358947577a51f2c2d32b49cff2f9d,https://polymarket.com/0x59e9593d9ad358947577a51f2c2d32b49cff2f9d,45,low_priority,25,25,0,8,7,0,15,0,5,0,132,132,1,0,1,0,0,1.515151515151515151515151515,BTC,1,Up,0.5151515151515151515151515152,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x251c1a283703beed41590b0875a8dcb8ddd1541f,https://polymarket.com/0x251c1a283703beed41590b0875a8dcb8ddd1541f,45,low_priority,15,24,0,11,10,0,15,0,0,0,23,23,1,0,1,0,0,8.695652173913043478260869565,ETH,0.5217391304347826086956521739,Up,0.5217391304347826086956521739,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
0x3b19d4c9e38af6e6d6923039275d5cfe89bc3655,https://polymarket.com/0x3b19d4c9e38af6e6d6923039275d5cfe89bc3655,44.63302752293577981651376147,low_priority,25,24.63302752293577981651376147,0,8,7,0,15,0,5,0,109,107,0.9816513761467889908256880734,0,1,0,0,1.11009174311926605504587156,BTC,0.9816513761467889908256880734,Up,0.5963302752293577981651376147,0,wallet_score_v1_structural_fixture,931a9f316fab5ab15f07d8b8a61adae5b7d19dd5b8e74fe247573af8f99fb964
