market_id,timestamp,open_timestamp,resolution_timestamp,market_probability,btc_price,btc_return_1m,btc_return_5m,btc_return_15m,btc_volatility_15m,final_outcome,outcome
btc-updown-5m-1781395200,1781395384,1781395200,1781395500,0.2850000000,64403.4600000000,-0.0005191124,-0.0007337386,0.0001205049,0.0002872340,Down,0
btc-updown-5m-1781395500,1781395684,1781395500,1781395800,0.7550000000,64424.8700000000,-0.0002970020,0.0003324356,0.0004174043,0.0003453337,Down,0
btc-updown-5m-1781395800,1781395985,1781395800,1781396100,0.5950000000,64416.8700000000,0.0000644283,-0.0001241756,-0.0005256727,0.0003303871,Up,1
btc-updown-5m-1781396100,1781396284,1781396100,1781396400,0.5750000000,64390.0100000000,-0.0007425759,-0.0004169715,-0.0002088397,0.0003251632,Down,0
btc-updown-5m-1781396400,1781396584,1781396400,1781396700,0.8350000000,64482.3600000000,0.0007738331,0.0014342287,0.0008923573,0.0003279360,Up,1
btc-updown-5m-1781396700,1781396884,1781396700,1781397000,0.9150000000,64527.4300000000,0.0000017047,0.0006989508,0.0017163206,0.0003736166,Down,0
btc-updown-5m-1781397000,1781397184,1781397000,1781397300,0.9050000000,64520.9100000000,-0.0001929235,-0.0001010423,0.0020329241,0.0004306098,Up,1
btc-updown-5m-1781397300,1781397485,1781397300,1781397600,0.6250000000,64547.4000000000,0.0000289718,0.0004105646,0.0010086479,0.0004047115,Up,1
btc-updown-5m-1781397600,1781397788,1781397600,1781397900,0.4250000000,64539.1200000000,-0.0000444672,-0.0001282778,0.0001811633,0.0003589353,Down,0
btc-updown-5m-1781397900,1781398099,1781397900,1781398200,0.6950000000,64572.9500000000,0.0002242928,0.0005241782,0.0008065602,0.0002015837,Up,1
btc-updown-5m-1781398200,1781398385,1781398200,1781398500,0.1250000000,64538.0000000000,0.0001658213,-0.0005412483,-0.0001456294,0.0002047989,Down,0
btc-updown-5m-1781398500,1781398701,1781398500,1781398800,0.5550000000,64554.9900000000,0.0004081908,0.0002632558,0.0002458974,0.0002180099,Up,1
btc-updown-5m-1781398800,1781398987,1781398800,1781399100,0.1650000000,64507.2600000000,-0.0005074372,-0.0007393696,-0.0010172990,0.0002300198,Down,0
btc-updown-5m-1781399100,1781399285,1781399100,1781399400,0.9550000000,64592.2900000000,-0.0000969062,0.0013181462,0.0008412098,0.0003462247,Up,1
btc-updown-5m-1781399400,1781399584,1781399400,1781399700,0.7450000000,64652.0000000000,0.0000000000,0.0009244137,0.0015027498,0.0003679721,Up,1
btc-updown-5m-1781399700,1781399886,1781399700,1781400000,0.7050000000,64662.0100000000,0.0000675868,0.0001548289,0.0023989548,0.0003891076,Up,1
btc-updown-5m-1781400000,1781400185,1781400000,1781400300,0.4950000000,64642.7700000000,-0.0004332713,-0.0002975472,0.0007815174,0.0003663392,Down,0
btc-updown-5m-1781400300,1781400485,1781400300,1781400600,0.3450000000,64626.3100000000,-0.0003103036,-0.0002546302,-0.0003973582,0.0003334524,Down,0
btc-updown-5m-1781400600,1781400788,1781400600,1781400900,0.1150000000,64620.0000000000,0.0002166981,-0.0000976383,-0.0006496860,0.0003592013,Down,0
btc-updown-5m-1781400900,1781401085,1781400900,1781401200,0.6950000000,64569.2800000000,-0.0004753871,-0.0007848963,-0.0011368634,0.0003523839,Down,0
btc-updown-5m-1781401200,1781401387,1781401200,1781401500,0.4950000000,64596.7800000000,-0.0001671630,0.0004258991,-0.0004569346,0.0003547985,Down,0
btc-updown-5m-1781401500,1781401698,1781401500,1781401800,0.9550000000,64632.0000000000,0.0001864749,0.0005452284,0.0001857010,0.0002898774,Up,1
btc-updown-5m-1781401800,1781401985,1781401800,1781402100,0.5250000000,64628.9400000000,-0.0001090724,-0.0000473450,0.0009239688,0.0002141326,Down,0
btc-updown-5m-1781402100,1781402300,1781402100,1781402400,0.0650000000,64584.0000000000,-0.0000619310,-0.0006953541,-0.0001978427,0.0002247822,Down,0
btc-updown-5m-1781402400,1781402585,1781402400,1781402700,0.7650000000,64591.9900000000,0.0001907721,0.0001237149,-0.0006190432,0.0001578294,Up,1
btc-updown-5m-1781402700,1781402885,1781402700,1781403000,0.6750000000,64615.4300000000,0.0001232056,0.0003628933,-0.0002090395,0.0001623843,Down,0
btc-updown-5m-1781403000,1781403197,1781403000,1781403300,0.9450000000,64629.3100000000,0.0001439183,0.0002148094,0.0007015670,0.0001761349,Up,1
btc-updown-5m-1781403300,1781403483,1781403300,1781403600,0.3550000000,64614.1800000000,0.0000000000,-0.0002341043,0.0003435410,0.0001472935,Up,1
btc-updown-5m-1781403600,1781403784,1781403600,1781403900,0.0350000000,64581.0400000000,-0.0001285042,-0.0005128905,-0.0005322258,0.0002451573,Down,0
btc-updown-5m-1781403900,1781404087,1781403900,1781404200,0.1150000000,64520.4200000000,-0.0003122067,-0.0009386656,-0.0016848393,0.0002211695,Down,0
btc-updown-5m-1781404200,1781404385,1781404200,1781404500,0.6650000000,64543.6200000000,-0.0000545338,0.0003595761,-0.0010920204,0.0002516021,Up,1
btc-updown-5m-1781404500,1781404685,1781404500,1781404800,0.4550000000,64550.1100000000,-0.0001573723,0.0001005522,-0.0004789331,0.0001864407,Down,0
btc-updown-5m-1781404800,1781404985,1781404800,1781405100,0.0950000000,64510.0100000000,-0.0000429372,-0.0006212228,-0.0001613443,0.0001647057,Down,0
btc-updown-5m-1781405100,1781405284,1781405100,1781405400,0.1350000000,64507.9900000000,0.0004958433,-0.0000313130,-0.0005520298,0.0002072415,Down,0
btc-updown-5m-1781405400,1781405586,1781405400,1781405700,0.2800000000,64491.8500000000,-0.0000213976,-0.0002502016,-0.0009025546,0.0001815167,Down,0
btc-updown-5m-1781405700,1781405884,1781405700,1781406000,0.8350000000,64496.1600000000,-0.0000596899,0.0000668301,-0.0002146954,0.0001768991,Up,1
btc-updown-5m-1781406000,1781406185,1781406000,1781406300,0.8250000000,64488.6400000000,-0.0003001178,-0.0001165961,-0.0002999628,0.0001344019,Up,1
btc-updown-5m-1781406300,1781406486,1781406300,1781406600,0.6650000000,64498.4200000000,0.0000000000,0.0001516546,0.0001018733,0.0001334076,Down,0
btc-updown-5m-1781406600,1781406785,1781406600,1781406900,0.7650000000,64496.0200000000,-0.0000049615,-0.0000372102,-0.0000021707,0.0002113203,Up,1
btc-updown-5m-1781406900,1781407086,1781406900,1781407200,0.8550000000,64540.0000000000,0.0003490527,0.0006819025,0.0007964193,0.0002047682,Up,1
btc-updown-5m-1781407200,1781407400,1781407200,1781407500,0.4950000000,64526.0000000000,0.0000309962,-0.0002169197,0.0004276074,0.0002306766,Up,1
btc-updown-5m-1781407500,1781407697,1781407500,1781407800,0.5850000000,64530.1900000000,0.0000001550,0.0000649351,0.0005298001,0.0001514098,Up,1
btc-updown-5m-1781407800,1781407983,1781407800,1781408100,0.1550000000,64513.7100000000,0.0000000000,-0.0002553843,-0.0004073443,0.0001295789,Up,1
btc-updown-5m-1781408100,1781408284,1781408100,1781408400,0.0450000000,64486.0100000000,-0.0000465196,-0.0004293661,-0.0006197502,0.0001792950,Down,0
btc-updown-5m-1781408400,1781408584,1781408400,1781408700,0.4850000000,64476.2100000000,-0.0001175489,-0.0001519709,-0.0008365077,0.0001762603,Up,1
btc-updown-5m-1781408700,1781408885,1781408700,1781409000,0.7150000000,64490.1800000000,-0.0001210890,0.0002166691,-0.0003647287,0.0001840056,Down,0
btc-updown-5m-1781409000,1781409184,1781409000,1781409300,0.8750000000,64514.9600000000,0.0000218559,0.0003842445,0.0004489346,0.0001225806,Up,1
btc-updown-5m-1781409300,1781409485,1781409300,1781409600,0.6050000000,64528.0000000000,0.0000619924,0.0002021237,0.0008032420,0.0001368289,Up,1
btc-updown-5m-1781409600,1781409785,1781409600,1781409900,0.2150000000,64521.2900000000,-0.0001805280,-0.0001039859,0.0004823990,0.0001559009,Down,0
btc-updown-5m-1781409900,1781410084,1781409900,1781410200,0.3450000000,64512.9800000000,-0.0001287947,-0.0001287947,-0.0000306906,0.0001370192,Down,0
btc-updown-5m-1781410200,1781410384,1781410200,1781410500,0.2650000000,64498.3900000000,0.0000001550,-0.0002261560,-0.0004588706,0.0001252095,Down,0
btc-updown-5m-1781410500,1781410684,1781410500,1781410800,0.7250000000,64520.0000000000,0.0001846280,0.0003350471,-0.0000199934,0.0000978603,Up,1
btc-updown-5m-1781410800,1781410984,1781410800,1781411100,0.4050000000,64505.5500000000,0.0000000000,-0.0002239616,-0.0001151706,0.0000957539,Down,0
