snapshot,threshold,market_id,timestamp,seconds_to_resolution,side,outcome,win,market_probability_up,model_probability_up,execution_ask,cost,payout,net_pnl
4m,0.02,btc-updown-5m-1781699100,1781699186.994144,213.0,UP,DOWN,False,0.605,0.8839877951493874,0.61,0.61,0.0,-0.61
4m,0.02,btc-updown-5m-1781699400,1781699472.191104,227.0,DOWN,UP,False,0.935,0.9033159404967258,0.07,0.07,0.0,-0.07
4m,0.02,btc-updown-5m-1781700600,1781700663.610933,236.0,UP,DOWN,False,0.265,0.5097427402665962,0.27,0.27,0.0,-0.27
4m,0.02,btc-updown-5m-1781701200,1781701262.592009,237.0,UP,DOWN,False,0.485,0.8031883881846563,0.5,0.5,0.0,-0.5
4m,0.05,btc-updown-5m-1781699100,1781699186.994144,213.0,UP,DOWN,False,0.605,0.8839877951493874,0.61,0.61,0.0,-0.61
4m,0.05,btc-updown-5m-1781700600,1781700663.610933,236.0,UP,DOWN,False,0.265,0.5097427402665962,0.27,0.27,0.0,-0.27
4m,0.05,btc-updown-5m-1781701200,1781701262.592009,237.0,UP,DOWN,False,0.485,0.8031883881846563,0.5,0.5,0.0,-0.5
4m,0.1,btc-updown-5m-1781699100,1781699186.994144,213.0,UP,DOWN,False,0.605,0.8839877951493874,0.61,0.61,0.0,-0.61
4m,0.1,btc-updown-5m-1781700600,1781700663.610933,236.0,UP,DOWN,False,0.265,0.5097427402665962,0.27,0.27,0.0,-0.27
4m,0.1,btc-updown-5m-1781701200,1781701262.592009,237.0,UP,DOWN,False,0.485,0.8031883881846563,0.5,0.5,0.0,-0.5
4m,0.15,btc-updown-5m-1781699100,1781699186.994144,213.0,UP,DOWN,False,0.605,0.8839877951493874,0.61,0.61,0.0,-0.61
4m,0.15,btc-updown-5m-1781700600,1781700663.610933,236.0,UP,DOWN,False,0.265,0.5097427402665962,0.27,0.27,0.0,-0.27
4m,0.15,btc-updown-5m-1781701200,1781701262.592009,237.0,UP,DOWN,False,0.485,0.8031883881846563,0.5,0.5,0.0,-0.5
3m,0.02,btc-updown-5m-1781699100,1781699234.710362,165.0,DOWN,DOWN,True,0.675,0.6005837501147756,0.53,0.53,1.0,0.47
3m,0.02,btc-updown-5m-1781700900,1781701008.027215,191.0,DOWN,UP,False,0.885,0.8080115804907836,0.12,0.12,0.0,-0.12
3m,0.02,btc-updown-5m-1781700600,1781700707.19819,192.0,UP,DOWN,False,0.265,0.5365581792122731,0.27,0.27,0.0,-0.27
3m,0.02,btc-updown-5m-1781701200,1781701330.851861,169.0,UP,DOWN,False,0.545,0.7071512380460299,0.55,0.55,0.0,-0.55
3m,0.05,btc-updown-5m-1781699100,1781699234.710362,165.0,DOWN,DOWN,True,0.675,0.6005837501147756,0.53,0.53,1.0,0.47
3m,0.05,btc-updown-5m-1781700900,1781701008.027215,191.0,DOWN,UP,False,0.885,0.8080115804907836,0.12,0.12,0.0,-0.12
3m,0.05,btc-updown-5m-1781700600,1781700707.19819,192.0,UP,DOWN,False,0.265,0.5365581792122731,0.27,0.27,0.0,-0.27
3m,0.05,btc-updown-5m-1781701200,1781701330.851861,169.0,UP,DOWN,False,0.545,0.7071512380460299,0.55,0.55,0.0,-0.55
3m,0.1,btc-updown-5m-1781700600,1781700707.19819,192.0,UP,DOWN,False,0.265,0.5365581792122731,0.27,0.27,0.0,-0.27
3m,0.1,btc-updown-5m-1781701200,1781701330.851861,169.0,UP,DOWN,False,0.545,0.7071512380460299,0.55,0.55,0.0,-0.55
3m,0.15,btc-updown-5m-1781700600,1781700707.19819,192.0,UP,DOWN,False,0.265,0.5365581792122731,0.27,0.27,0.0,-0.27
3m,0.15,btc-updown-5m-1781701200,1781701330.851861,169.0,UP,DOWN,False,0.545,0.7071512380460299,0.55,0.55,0.0,-0.55
2m,0.02,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7139889334658674,0.01,0.01,0.0,-0.01
2m,0.02,btc-updown-5m-1781700900,1781701104.299387,95.0,DOWN,UP,False,0.975,0.9537323926497114,0.03,0.03,0.0,-0.03
2m,0.02,btc-updown-5m-1781700600,1781700789.926306,110.0,DOWN,DOWN,True,0.03500000000000003,0.01461795895517171,0.97,0.97,1.0,0.030000000000000027
2m,0.02,btc-updown-5m-1781701200,1781701363.135799,136.0,DOWN,DOWN,True,0.315,0.13903795510313005,0.67,0.67,1.0,0.32999999999999996
2m,0.05,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7139889334658674,0.01,0.01,0.0,-0.01
2m,0.05,btc-updown-5m-1781701200,1781701363.135799,136.0,DOWN,DOWN,True,0.315,0.13903795510313005,0.67,0.67,1.0,0.32999999999999996
2m,0.1,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7139889334658674,0.01,0.01,0.0,-0.01
2m,0.1,btc-updown-5m-1781701200,1781701363.135799,136.0,DOWN,DOWN,True,0.315,0.13903795510313005,0.67,0.67,1.0,0.32999999999999996
2m,0.15,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7139889334658674,0.01,0.01,0.0,-0.01
2m,0.15,btc-updown-5m-1781701200,1781701363.135799,136.0,DOWN,DOWN,True,0.315,0.13903795510313005,0.67,0.67,1.0,0.32999999999999996
1m,0.02,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7457501496939337,0.01,0.01,0.0,-0.01
1m,0.02,btc-updown-5m-1781700600,1781700835.370247,64.0,UP,DOWN,False,0.015,0.06553843171749292,0.02,0.02,0.0,-0.02
1m,0.05,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7457501496939337,0.01,0.01,0.0,-0.01
1m,0.05,btc-updown-5m-1781700600,1781700835.370247,64.0,UP,DOWN,False,0.015,0.06553843171749292,0.02,0.02,0.0,-0.02
1m,0.1,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7457501496939337,0.01,0.01,0.0,-0.01
1m,0.15,btc-updown-5m-1781699100,1781699319.959432,80.0,UP,DOWN,False,0.01,0.7457501496939337,0.01,0.01,0.0,-0.01
